name,co2_emissions,color,nice_name
heat,0.0,#c4071b,Hot Water for the District
electricity,0.107,#CCCCCC,Electricity for the District
grid electricity,0.107,#CCCCCC,Electricity from the grid
biomethane,0.152,#679a1d,Biomethane for the District
wind,0.0,#005293,Wind energy
pv,0.0,#ffdc00,PV energy
st,0.0,#f9ba00,Solar thermal energy
battery storage,0.0,#ffdc00,Battery storage
TTES,0.0,#d64c13,TES
PTES,0.0,#f9ba00,Seasonal thermal storage
geothermal,0.0,#003359,Geothermal energy
heat pump,0.0,#00778a,Large-scale Heat Pump
biomethane boiler,0.0,#679a1d,Biomethane boiler
biomethane CHP,0.0,#679a1d,Biomethane Combined Heat and Power
dec air heat pump,0.107,#0065BD,Decentral air heat pump
dec ground heat pump,0.107,#005293,Decentral ground heat pump
