,dec air heat pump,dec pellet boiler,dec ground heat pump
0,2.9991574,0.9,2.9605675
1,2.9804883,0.9,2.960493
2,2.9734674,0.9,2.9602365
3,2.9651704,0.9,2.9599771
4,2.9780722,0.9,2.9599051
5,2.9812293,0.9,2.9596486
6,2.9641778,0.9,2.9595766
7,2.8927517,0.9,2.9593172
8,2.9116063,0.9,2.959242
9,2.956306,0.9,2.9589856
10,3.0213504,0.9,2.9587293
11,3.0839005,0.9,2.9586542
12,3.127673,0.9,2.9583948
13,3.157435,0.9,2.9583204
14,3.146982,0.9,2.9580643
15,3.0425465,0.9,2.957992
16,2.9528708,0.9,2.9577327
17,2.8884342,0.9,2.9576578
18,2.8531954,0.9,2.9573984
19,2.8269596,0.9,2.9573243
20,2.8099923,0.9,2.9570649
21,2.8071923,0.9,2.9569929
22,2.8045487,0.9,2.9569125
23,2.779072,0.9,2.956653
24,2.7685714,0.9,2.956581
25,2.7662356,0.9,2.956506
26,2.7332597,0.9,2.9562447
27,2.702242,0.9,2.9561694
28,2.6955347,0.9,2.9560943
29,2.6726289,0.9,2.955833
30,2.677287,0.9,2.9557545
31,2.671048,0.9,2.9556804
32,2.6993256,0.9,2.9554212
33,2.7796955,0.9,2.9553428
34,2.8663146,0.9,2.9552627
35,2.9959962,0.9,2.9550035
36,3.092501,0.9,2.954926
37,3.1326947,0.9,2.9548478
38,3.158525,0.9,2.9545865
39,3.1670558,0.9,2.9545083
40,3.1444173,0.9,2.954431
41,3.1269195,0.9,2.9541698
42,3.0896568,0.9,2.9540915
43,3.059646,0.9,2.954011
44,3.0435934,0.9,2.9537487
45,3.0718465,0.9,2.9536717
46,3.1030145,0.9,2.953588
47,3.081807,0.9,2.9533267
48,3.08003,0.9,2.9532485
49,3.0687327,0.9,2.9531684
50,3.0589426,0.9,2.9529037
51,3.041112,0.9,2.9528255
52,3.0298257,0.9,2.9527452
53,3.0383239,0.9,2.9526682
54,3.032401,0.9,2.9524026
55,3.0250049,0.9,2.9523225
56,3.023184,0.9,2.952242
57,3.032908,0.9,2.9521616
58,3.064632,0.9,2.9518974
59,3.0767252,0.9,2.9518168
60,3.081478,0.9,2.951555
61,3.0661917,0.9,2.9514716
62,3.0642793,0.9,2.951394
63,3.0529857,0.9,2.9513106
64,3.0456085,0.9,2.9512303
65,3.0416884,0.9,2.9509685
66,3.0357957,0.9,2.950888
67,3.035501,0.9,2.9508076
68,3.036491,0.9,2.9507272
69,3.0512195,0.9,2.950647
70,3.0324817,0.9,2.9505656
71,3.0298653,0.9,2.9504852
72,3.0100832,0.9,2.950405
73,3.0045865,0.9,2.9501407
74,3.0059557,0.9,2.9500606
75,2.9984093,0.9,2.9499793
76,2.984067,0.9,2.949899
77,2.9547281,0.9,2.9498217
78,2.943211,0.9,2.9497383
79,2.9295514,0.9,2.949661
80,2.9366598,0.9,2.9495778
81,2.9624772,0.9,2.9494996
82,3.0455136,0.9,2.9494162
83,3.1208246,0.9,2.949336
84,3.221601,0.9,2.9492586
85,3.2814026,0.9,2.9491751
86,3.2611976,0.9,2.9490972
87,3.2605615,0.9,2.9490168
88,3.2356148,0.9,2.9489365
89,3.1881971,0.9,2.9488564
90,3.129351,0.9,2.948776
91,3.0760565,0.9,2.9486957
92,3.0125804,0.9,2.9486177
93,2.933907,0.9,2.9485343
94,2.9201913,0.9,2.9484572
95,2.8779273,0.9,2.9483767
96,2.843954,0.9,2.9482963
97,2.8093681,0.9,2.948215
98,2.7815323,0.9,2.948138
99,2.7675748,0.9,2.9480577
100,2.765366,0.9,2.9479797
101,2.761552,0.9,2.9480834
102,2.7654233,0.9,2.948003
103,2.7664642,0.9,2.9479277
104,2.7668996,0.9,2.9478476
105,2.758407,0.9,2.9477704
106,2.7297974,0.9,2.947687
107,2.7236981,0.9,2.947609
108,2.7225096,0.9,2.9475286
109,2.7182887,0.9,2.9474547
110,2.7170281,0.9,2.9475584
111,2.7111168,0.9,2.9474804
112,2.6929598,0.9,2.9474032
113,2.6798644,0.9,2.947322
114,2.6699915,0.9,2.947248
115,2.6701083,0.9,2.9471679
116,2.6651683,0.9,2.9470928
117,2.6696925,0.9,2.9470127
118,2.668829,0.9,2.9469373
119,2.6686153,0.9,2.9468575
120,2.6669543,0.9,2.9467824
121,2.6623445,0.9,2.946705
122,2.6615808,0.9,2.9466271
123,2.662376,0.9,2.9465532
124,2.6641157,0.9,2.946659
125,2.6676147,0.9,2.9465818
126,2.6724467,0.9,2.946507
127,2.6712716,0.9,2.946432
128,2.674993,0.9,2.9463582
129,2.6835575,0.9,2.94628
130,2.7006907,0.9,2.9462051
131,2.7068856,0.9,2.9461281
132,2.723631,0.9,2.9460533
133,2.733797,0.9,2.945981
134,2.7287269,0.9,2.9459043
135,2.7206914,0.9,2.9458323
136,2.6495256,0.9,2.9457545
137,2.6269794,0.9,2.9456825
138,2.6070778,0.9,2.9456086
139,2.608608,0.9,2.9453533
140,2.6239228,0.9,2.9452782
141,2.6336327,0.9,2.9452066
142,2.6134663,0.9,2.9453154
143,2.6080601,0.9,2.9452403
144,2.5839343,0.9,2.9451663
145,2.5765057,0.9,2.944911
146,2.577531,0.9,2.9448392
147,2.5686574,0.9,2.9447675
148,2.5462098,0.9,2.9446957
149,2.5230036,0.9,2.9446242
150,2.5422606,0.9,2.9445524
151,2.5516858,0.9,2.9442973
152,2.5712347,0.9,2.9442255
153,2.595667,0.9,2.944156
154,2.6293511,0.9,2.944082
155,2.6364543,0.9,2.9438288
156,2.654037,0.9,2.943757
157,2.6725326,0.9,2.9436855
158,2.675336,0.9,2.9436169
159,2.6490014,0.9,2.9433646
160,2.6479,0.9,2.9432929
161,2.67357,0.9,2.9432235
162,2.6900637,0.9,2.9429684
163,2.689641,0.9,2.9428997
164,2.6838696,0.9,2.9428334
165,2.6830516,0.9,2.9425697
166,2.67418,0.9,2.9425094
167,2.6796927,0.9,2.9422574
168,2.6730568,0.9,2.942188
169,2.661645,0.9,2.941936
170,2.6173844,0.9,2.9418676
171,2.5943244,0.9,2.9416175
172,2.5775707,0.9,2.9415488
173,2.5934427,0.9,2.9414806
