,dec air heat pump,dec pellet boiler,dec ground heat pump
0,0.15694757,0.15694757,0.15694757
1,0.15925273,0.15925273,0.15925273
2,0.17654253,0.17654253,0.17654253
3,0.20438628,0.20438628,0.20438628
4,0.2455515,0.2455515,0.2455515
5,0.30815045,0.30815045,0.30815045
6,0.33331657,0.33331657,0.33331657
7,0.32239406,0.32239406,0.32239406
8,0.29753505,0.29753505,0.29753505
9,0.27563044,0.27563044,0.27563044
10,0.26230153,0.26230153,0.26230153
11,0.24749868,0.24749868,0.24749868
12,0.22192751,0.22192751,0.22192751
13,0.21784052,0.21784052,0.21784052
14,0.22192903,0.22192903,0.22192903
15,0.22840923,0.22840923,0.22840923
16,0.23766764,0.23766764,0.23766764
17,0.24851783,0.24851783,0.24851783
18,0.24413166,0.24413166,0.24413166
19,0.24825242,0.24825242,0.24825242
20,0.23924826,0.23924826,0.23924826
21,0.21742319,0.21742319,0.21742319
22,0.17560094,0.17560094,0.17560094
23,0.15953191,0.15953191,0.15953191
24,0.21396231,0.21396231,0.21396231
25,0.20085226,0.20085226,0.20085226
26,0.22739607,0.22739607,0.22739607
27,0.27261877,0.27261877,0.27261877
28,0.33630228,0.33630228,0.33630228
29,0.32062537,0.32062537,0.32062537
30,0.33814973,0.33814973,0.33814973
31,0.3176319,0.3176319,0.3176319
32,0.3029938,0.3029938,0.3029938
33,0.28222957,0.28222957,0.28222957
34,0.27225358,0.27225358,0.27225358
35,0.25770042,0.25770042,0.25770042
36,0.24777606,0.24777606,0.24777606
37,0.25307965,0.25307965,0.25307965
38,0.24729359,0.24729359,0.24729359
39,0.26276472,0.26276472,0.26276472
40,0.27756998,0.27756998,0.27756998
41,0.28421401,0.28421401,0.28421401
42,0.28717238,0.28717238,0.28717238
43,0.29757993,0.29757993,0.29757993
44,0.28585577,0.28585577,0.28585577
45,0.26431982,0.26431982,0.26431982
46,0.21532377,0.21532377,0.21532377
47,0.19205576,0.19205576,0.19205576
48,0.16342111,0.16342111,0.16342111
49,0.17040158,0.17040158,0.17040158
50,0.18460009,0.18460009,0.18460009
51,0.21169125,0.21169125,0.21169125
52,0.24914994,0.24914994,0.24914994
53,0.30314837,0.30314837,0.30314837
54,0.33397885,0.33397885,0.33397885
55,0.32338302,0.32338302,0.32338302
56,0.30136032,0.30136032,0.30136032
57,0.2819223,0.2819223,0.2819223
58,0.26010379,0.26010379,0.26010379
59,0.25053238,0.25053238,0.25053238
60,0.23978297,0.23978297,0.23978297
61,0.235994,0.235994,0.235994
62,0.23540138,0.23540138,0.23540138
63,0.24285838,0.24285838,0.24285838
64,0.24783933,0.24783933,0.24783933
65,0.25663118,0.25663118,0.25663118
66,0.25788575,0.25788575,0.25788575
67,0.25732599,0.25732599,0.25732599
68,0.24331268,0.24331268,0.24331268
69,0.21207033,0.21207033,0.21207033
70,0.17557232,0.17557232,0.17557232
71,0.15701372,0.15701372,0.15701372
72,0.14772778,0.14772778,0.14772778
73,0.15454863,0.15454863,0.15454863
74,0.16717265,0.16717265,0.16717265
75,0.19205359,0.19205359,0.19205359
76,0.22809355,0.22809355,0.22809355
77,0.28100741,0.28100741,0.28100741
78,0.30941749,0.30941749,0.30941749
79,0.3076254,0.3076254,0.3076254
80,0.2818058,0.2818058,0.2818058
81,0.26154478,0.26154478,0.26154478
82,0.2442873,0.2442873,0.2442873
83,0.23229413,0.23229413,0.23229413
84,0.22521744,0.22521744,0.22521744
85,0.22213389,0.22213389,0.22213389
86,0.22040587,0.22040587,0.22040587
87,0.22208817,0.22208817,0.22208817
88,0.2286841,0.2286841,0.2286841
89,0.22922273,0.22922273,0.22922273
90,0.23158941,0.23158941,0.23158941
91,0.23148727,0.23148727,0.23148727
92,0.21941665,0.21941665,0.21941665
93,0.18870582,0.18870582,0.18870582
94,0.15786223,0.15786223,0.15786223
95,0.14429212,0.14429212,0.14429212
96,0.24305297,0.24305297,0.24305297
97,0.25418747,0.25418747,0.25418747
98,0.27514168,0.27514168,0.27514168
99,0.31612844,0.31612844,0.31612844
100,0.37511391,0.37511391,0.37511391
101,0.46110955,0.46110955,0.46110955
102,0.50710013,0.50710013,0.50710013
103,0.50446537,0.50446537,0.50446537
104,0.46201684,0.46201684,0.46201684
105,0.4287812,0.4287812,0.4287812
106,0.4004424,0.4004424,0.4004424
107,0.38079467,0.38079467,0.38079467
108,0.36910101,0.36910101,0.36910101
109,0.36404424,0.36404424,0.36404424
110,0.361088,0.361088,0.361088
111,0.36370166,0.36370166,0.36370166
112,0.37432475,0.37432475,0.37432475
113,0.37484993,0.37484993,0.37484993
114,0.37858417,0.37858417,0.37858417
115,0.37829617,0.37829617,0.37829617
116,0.35839129,0.35839129,0.35839129
117,0.3080067,0.3080067,0.3080067
118,0.25820533,0.25820533,0.25820533
119,0.23687945,0.23687945,0.23687945
120,0.34650674,0.34650674,0.34650674
121,0.35695219,0.35695219,0.35695219
122,0.37875044,0.37875044,0.37875044
123,0.4125134,0.4125134,0.4125134
124,0.49596882,0.49596882,0.49596882
125,0.59462472,0.59462472,0.59462472
126,0.6481541,0.6481541,0.6481541
127,0.62706589,0.62706589,0.62706589
128,0.59846965,0.59846965,0.59846965
129,0.56954365,0.56954365,0.56954365
130,0.53822783,0.53822783,0.53822783
131,0.51447309,0.51447309,0.51447309
132,0.50157329,0.50157329,0.50157329
133,0.49434888,0.49434888,0.49434888
134,0.49889184,0.49889184,0.49889184
135,0.50500282,0.50500282,0.50500282
136,0.50756944,0.50756944,0.50756944
137,0.50411257,0.50411257,0.50411257
138,0.49771628,0.49771628,0.49771628
139,0.49307586,0.49307586,0.49307586
140,0.46548901,0.46548901,0.46548901
141,0.41055684,0.41055684,0.41055684
142,0.35485442,0.35485442,0.35485442
143,0.33739389,0.33739389,0.33739389
144,0.39867968,0.39867968,0.39867968
145,0.4129213,0.4129213,0.4129213
146,0.42895707,0.42895707,0.42895707
147,0.46621657,0.46621657,0.46621657
148,0.56345357,0.56345357,0.56345357
149,0.70031976,0.70031976,0.70031976
150,0.76511305,0.76511305,0.76511305
151,0.73733471,0.73733471,0.73733471
152,0.70188682,0.70188682,0.70188682
153,0.6702403,0.6702403,0.6702403
154,0.63372839,0.63372839,0.63372839
155,0.6018793,0.6018793,0.6018793
156,0.58475852,0.58475852,0.58475852
157,0.57529918,0.57529918,0.57529918
158,0.57957041,0.57957041,0.57957041
159,0.58671121,0.58671121,0.58671121
160,0.59079083,0.59079083,0.59079083
161,0.5909621,0.5909621,0.5909621
162,0.58663207,0.58663207,0.58663207
163,0.57602795,0.57602795,0.57602795
164,0.54698618,0.54698618,0.54698618
165,0.48395547,0.48395547,0.48395547
166,0.41260409,0.41260409,0.41260409
167,0.38910018,0.38910018,0.38910018
168,0.38864332,0.38864332,0.38864332
169,0.40652548,0.40652548,0.40652548
170,0.42902115,0.42902115,0.42902115
171,0.46726567,0.46726567,0.46726567
172,0.56679537,0.56679537,0.56679537
173,0.70569753,0.70569753,0.70569753
174,0.73996011,0.73996011,0.73996011
175,0.71130947,0.71130947,0.71130947
176,0.66861878,0.66861878,0.66861878
177,0.641776,0.641776,0.641776
178,0.62018439,0.62018439,0.62018439
179,0.57716983,0.57716983,0.57716983
180,0.54855452,0.54855452,0.54855452
181,0.54038049,0.54038049,0.54038049
182,0.54565664,0.54565664,0.54565664
183,0.56173306,0.56173306,0.56173306
184,0.58028188,0.58028188,0.58028188
185,0.58495342,0.58495342,0.58495342
186,0.57396278,0.57396278,0.57396278
187,0.56177133,0.56177133,0.56177133
188,0.5554323,0.5554323,0.5554323
189,0.49262392,0.49262392,0.49262392
190,0.42330579,0.42330579,0.42330579
191,0.40394923,0.40394923,0.40394923
192,0.39376885,0.39376885,0.39376885
193,0.39179365,0.39179365,0.39179365
194,0.43668311,0.43668311,0.43668311
195,0.51911494,0.51911494,0.51911494
196,0.61605433,0.61605433,0.61605433
197,0.60087401,0.60087401,0.60087401
198,0.63108446,0.63108446,0.63108446
199,0.61256691,0.61256691,0.61256691
200,0.58261846,0.58261846,0.58261846
201,0.5572568,0.5572568,0.5572568
202,0.54536879,0.54536879,0.54536879
203,0.51886275,0.51886275,0.51886275
204,0.50596575,0.50596575,0.50596575
205,0.51429171,0.51429171,0.51429171
206,0.52493264,0.52493264,0.52493264
207,0.52218123,0.52218123,0.52218123
208,0.55573064,0.55573064,0.55573064
209,0.5667165,0.5667165,0.5667165
210,0.56008324,0.56008324,0.56008324
211,0.55987918,0.55987918,0.55987918
212,0.54353014,0.54353014,0.54353014
213,0.47948197,0.47948197,0.47948197
214,0.43114072,0.43114072,0.43114072
215,0.39028244,0.39028244,0.39028244
