,biomass boiler,biomethane boiler,biomethane CHP,biomethane CHP generator,biomethane CHP boiler,large scale heat pump,geothermal plant,elec boiler,selling,heating grid
0,1.14,1.06,0.43,0.43,0.43,3.123616105250138,25.0,0.99,0.0,0.9537063703313287
1,1.14,1.06,0.43,0.43,0.43,3.1175354614074773,25.0,0.99,0.0,0.9543764650813509
2,1.14,1.06,0.43,0.43,0.43,3.0880119104378823,25.0,0.99,0.0,0.9588446316577685
3,1.14,1.06,0.43,0.43,0.43,3.074703285405339,25.0,0.99,0.0,0.9644512702132353
4,1.14,1.06,0.43,0.43,0.43,3.063445138236071,25.0,0.99,0.0,0.9704107990929665
5,1.14,1.06,0.43,0.43,0.43,3.082014476839485,25.0,0.99,0.0,0.9764216709407512
6,1.14,1.06,0.43,0.43,0.43,3.089346578209542,25.0,0.99,0.0,0.9782018857846401
7,1.14,1.06,0.43,0.43,0.43,3.0601433541013296,25.0,0.99,0.0,0.9774633788547065
8,1.14,1.06,0.43,0.43,0.43,2.9440782136325474,25.0,0.99,0.0,0.9755804474935291
9,1.14,1.06,0.43,0.43,0.43,2.976417744100196,25.0,0.99,0.0,0.9736398026355694
10,1.14,1.06,0.43,0.43,0.43,3.048292300339713,25.0,0.99,0.0,0.9723003036148357
11,1.14,1.06,0.43,0.43,0.43,3.1521816731727963,25.0,0.99,0.0,0.9706435902511702
12,1.14,1.06,0.43,0.43,0.43,3.2518244256204056,25.0,0.99,0.0,0.9672610538674856
13,1.14,1.06,0.43,0.43,0.43,3.318661656321788,25.0,0.99,0.0,0.9666468264652125
14,1.14,1.06,0.43,0.43,0.43,3.3656176064426706,25.0,0.99,0.0,0.9672612791202683
15,1.14,1.06,0.43,0.43,0.43,3.351594671264229,25.0,0.99,0.0,0.9681901088838339
16,1.14,1.06,0.43,0.43,0.43,3.187291809222335,25.0,0.99,0.0,0.969429272767892
17,1.14,1.06,0.43,0.43,0.43,3.043042879832214,25.0,0.99,0.0,0.9707639778803375
18,1.14,1.06,0.43,0.43,0.43,2.9465993307032945,25.0,0.99,0.0,0.9702387116268821
19,1.14,1.06,0.43,0.43,0.43,2.8954308409801235,25.0,0.99,0.0,0.9707327215829719
20,1.14,1.06,0.43,0.43,0.43,2.8556280464763075,25.0,0.99,0.0,0.9696312409845602
21,1.14,1.06,0.43,0.43,0.43,2.8320620434552417,25.0,0.99,0.0,0.9665828065385266
22,1.14,1.06,0.43,0.43,0.43,2.82785703318312,25.0,0.99,0.0,0.9586239524448857
23,1.14,1.06,0.43,0.43,0.43,2.823659526547429,25.0,0.99,0.0,0.95445630398258
24,1.14,1.06,0.43,0.43,0.43,2.782682335359818,25.0,0.99,0.0,0.9660422778262361
25,1.14,1.06,0.43,0.43,0.43,2.7691823923502565,25.0,0.99,0.0,0.9638257849412761
26,1.14,1.06,0.43,0.43,0.43,2.7563430135045124,25.0,0.99,0.0,0.9680483803202589
27,1.14,1.06,0.43,0.43,0.43,2.707403950077528,25.0,0.99,0.0,0.9733485967683964
28,1.14,1.06,0.43,0.43,0.43,2.66006330061976,25.0,0.99,0.0,0.9783954106949106
29,1.14,1.06,0.43,0.43,0.43,2.6528259973122847,25.0,0.99,0.0,0.9773390582990034
30,1.14,1.06,0.43,0.43,0.43,2.626857096984316,25.0,0.99,0.0,0.9785134450467233
31,1.14,1.06,0.43,0.43,0.43,2.636766366146843,25.0,0.99,0.0,0.9771254940840328
32,1.14,1.06,0.43,0.43,0.43,2.627955913404477,25.0,0.99,0.0,0.9760203917917103
33,1.14,1.06,0.43,0.43,0.43,2.668443552263763,25.0,0.99,0.0,0.9742561607180755
34,1.14,1.06,0.43,0.43,0.43,2.7950775233355007,25.0,0.99,0.0,0.9733128478534052
35,1.14,1.06,0.43,0.43,0.43,2.930258331743532,25.0,0.99,0.0,0.9718057395660136
36,1.14,1.06,0.43,0.43,0.43,3.129033095182597,25.0,0.99,0.0,0.9706764537047352
37,1.14,1.06,0.43,0.43,0.43,3.2789369183231183,25.0,0.99,0.0,0.9712909646476561
38,1.14,1.06,0.43,0.43,0.43,3.339840334345185,25.0,0.99,0.0,0.9706192433429589
39,1.14,1.06,0.43,0.43,0.43,3.373768386989362,25.0,0.99,0.0,0.9723491316532092
40,1.14,1.06,0.43,0.43,0.43,3.383431743451805,25.0,0.99,0.0,0.9738239962605014
41,1.14,1.06,0.43,0.43,0.43,3.3479161063413696,25.0,0.99,0.0,0.9744359093399959
42,1.14,1.06,0.43,0.43,0.43,3.3164799861844303,25.0,0.99,0.0,0.9746992631662721
43,1.14,1.06,0.43,0.43,0.43,3.2575098539890712,25.0,0.99,0.0,0.9755841309539889
44,1.14,1.06,0.43,0.43,0.43,3.211659201243438,25.0,0.99,0.0,0.974582731702107
45,1.14,1.06,0.43,0.43,0.43,3.1879849294524867,25.0,0.99,0.0,0.9725118130256939
46,1.14,1.06,0.43,0.43,0.43,3.232019144183796,25.0,0.99,0.0,0.9662569874613375
47,1.14,1.06,0.43,0.43,0.43,3.2789369183231183,25.0,0.99,0.0,0.9621689412932273
48,1.14,1.06,0.43,0.43,0.43,3.2454425713453072,25.0,0.99,0.0,0.9555401829393533
49,1.14,1.06,0.43,0.43,0.43,3.2433186333016595,25.0,0.99,0.0,0.957361470852536
50,1.14,1.06,0.43,0.43,0.43,3.2277940408191803,25.0,0.99,0.0,0.9606410126672291
51,1.14,1.06,0.43,0.43,0.43,3.2130583757691764,25.0,0.99,0.0,0.9656779729751617
52,1.14,1.06,0.43,0.43,0.43,3.1859061121745578,25.0,0.99,0.0,0.9708381513379302
53,1.14,1.06,0.43,0.43,0.43,3.168645859161614,25.0,0.99,0.0,0.9760326180698444
54,1.14,1.06,0.43,0.43,0.43,3.181753364351721,25.0,0.99,0.0,0.9782451111583965
55,1.14,1.06,0.43,0.43,0.43,3.1713999312314827,25.0,0.99,0.0,0.9775323001727466
56,1.14,1.06,0.43,0.43,0.43,3.161773248180742,25.0,0.99,0.0,0.9758904134814983
57,1.14,1.06,0.43,0.43,0.43,3.158343663196118,25.0,0.99,0.0,0.9742281022420465
58,1.14,1.06,0.43,0.43,0.43,3.1734673739237578,25.0,0.99,0.0,0.9720662558906589
59,1.14,1.06,0.43,0.43,0.43,3.2228731427762427,25.0,0.99,0.0,0.9709990673103625
60,1.14,1.06,0.43,0.43,0.43,3.2419036029199715,25.0,0.99,0.0,0.9696989623930861
61,1.14,1.06,0.43,0.43,0.43,3.2426110253173337,25.0,0.99,0.0,0.9692124689649823
62,1.14,1.06,0.43,0.43,0.43,3.223575575752841,25.0,0.99,0.0,0.9691349616215021
63,1.14,1.06,0.43,0.43,0.43,3.220766947635903,25.0,0.99,0.0,0.9700826768906387
64,1.14,1.06,0.43,0.43,0.43,3.2025823994651117,25.0,0.99,0.0,0.9706839403481567
65,1.14,1.06,0.43,0.43,0.43,3.1914532498795616,25.0,0.99,0.0,0.9716882703547172
66,1.14,1.06,0.43,0.43,0.43,3.184521139308198,25.0,0.99,0.0,0.9718260011747589
67,1.14,1.06,0.43,0.43,0.43,3.175536437097184,25.0,0.99,0.0,0.9717647146623796
68,1.14,1.06,0.43,0.43,0.43,3.1776071222357185,25.0,0.99,0.0,0.9701385360355113
69,1.14,1.06,0.43,0.43,0.43,3.1789884808199917,25.0,0.99,0.0,0.9657393243584649
70,1.14,1.06,0.43,0.43,0.43,3.200492134428768,25.0,0.99,0.0,0.9586172085420663
71,1.14,1.06,0.43,0.43,0.43,3.1727780463794426,25.0,0.99,0.0,0.9537258736490838
72,1.14,1.06,0.43,0.43,0.43,3.165894661802356,25.0,0.99,0.0,0.9508171537013813
73,1.14,1.06,0.43,0.43,0.43,3.139220423181395,25.0,0.99,0.0,0.9529877893249694
74,1.14,1.06,0.43,0.43,0.43,3.1364999086193004,25.0,0.99,0.0,0.9565379113747486
75,1.14,1.06,0.43,0.43,0.43,3.1385400286798446,25.0,0.99,0.0,0.9621685130778007
76,1.14,1.06,0.43,0.43,0.43,3.1242926121001164,25.0,0.99,0.0,0.9681460844076406
77,1.14,1.06,0.43,0.43,0.43,3.1000489234924413,25.0,0.99,0.0,0.9741441957606862
78,1.14,1.06,0.43,0.43,0.43,3.0561868585239544,25.0,0.99,0.0,0.9765182220708238
79,1.14,1.06,0.43,0.43,0.43,3.040422245183153,25.0,0.99,0.0,0.9763814281492003
80,1.14,1.06,0.43,0.43,0.43,3.022153574597953,25.0,0.99,0.0,0.9742174480341371
81,1.14,1.06,0.43,0.43,0.43,3.0371502662067864,25.0,0.99,0.0,0.9722201576925866
82,1.14,1.06,0.43,0.43,0.43,3.0793534461086445,25.0,0.99,0.0,0.9702576732826248
83,1.14,1.06,0.43,0.43,0.43,3.2109598886645,25.0,0.99,0.0,0.9687220999219308
84,1.14,1.06,0.43,0.43,0.43,3.336909497634768,25.0,0.99,0.0,0.9677392976101933
85,1.14,1.06,0.43,0.43,0.43,3.489636529797082,25.0,0.99,0.0,0.9672914717929603
86,1.14,1.06,0.43,0.43,0.43,3.5727221479068376,25.0,0.99,0.0,0.9670350301831387
87,1.14,1.06,0.43,0.43,0.43,3.5340224143275583,25.0,0.99,0.0,0.9672847379064304
88,1.14,1.06,0.43,0.43,0.43,3.5332378857829148,25.0,0.99,0.0,0.9682283427391462
89,1.14,1.06,0.43,0.43,0.43,3.4880913387741628,25.0,0.99,0.0,0.9683030004651347
90,1.14,1.06,0.43,0.43,0.43,3.408111637643873,25.0,0.99,0.0,0.9686269214686088
91,1.14,1.06,0.43,0.43,0.43,3.3128476995347604,25.0,0.99,0.0,0.9686130794782246
92,1.14,1.06,0.43,0.43,0.43,3.2263871488104106,25.0,0.99,0.0,0.9668864115724787
93,1.14,1.06,0.43,0.43,0.43,3.1276777896348333,25.0,0.99,0.0,0.9614973573823355
94,1.14,1.06,0.43,0.43,0.43,3.005953671532542,25.0,0.99,0.0,0.9539745975418734
95,1.14,1.06,0.43,0.43,0.43,2.989858050263063,25.0,0.99,0.0,0.9496460875822483
96,1.14,1.06,0.43,0.43,0.43,2.9258774606057627,25.0,0.99,0.0,0.970106628055457
97,1.14,1.06,0.43,0.43,0.43,2.8757528413109195,25.0,0.99,0.0,0.9714160865703377
98,1.14,1.06,0.43,0.43,0.43,2.823659526547429,25.0,0.99,0.0,0.9735929767752758
99,1.14,1.06,0.43,0.43,0.43,2.783859978453628,25.0,0.99,0.0,0.9770167067912288
100,1.14,1.06,0.43,0.43,0.43,2.762753736369027,25.0,0.99,0.0,0.9806307564373414
101,1.14,1.06,0.43,0.43,0.43,2.761003581376604,25.0,0.99,0.0,0.984243066105508
102,1.14,1.06,0.43,0.43,0.43,2.756925066991864,25.0,0.99,0.0,0.9856721142617522
103,1.14,1.06,0.43,0.43,0.43,2.7621702032227344,25.0,0.99,0.0,0.9855972814991264
104,1.14,1.06,0.43,0.43,0.43,2.7639212473278696,25.0,0.99,0.0,0.984274009088187
105,1.14,1.06,0.43,0.43,0.43,2.764505225228381,25.0,0.99,0.0,0.9830550576250957
106,1.14,1.06,0.43,0.43,0.43,2.744153947335869,25.0,0.99,0.0,0.9818558856455822
