,biomethane boiler,large scale heat pump,TTES charge,TTES discharge,heating grid
0,-0.0,-17.98415160271518,-0.0,-0.0,-17.15159994851308
1,-0.0,-18.235481046834064,-0.0,-0.0,-17.40351394054955
2,-0.0,-20.121072825985156,-0.0,-0.0,-19.2929826624041
3,-0.0,-23.15909029768801,-0.0,-0.0,-22.335814054622073
4,-0.0,-27.652666408045743,-0.0,-0.0,-26.834446106117316
5,-0.0,-34.48858978646532,-0.0,-0.0,-33.67540646769622
6,-0.0,-37.237323059932685,-0.0,-0.0,-36.42561963880342
7,-0.0,-36.04429781373139,-0.0,-0.0,-35.23198112943989
8,-0.0,-33.32921464619226,-0.0,-0.0,-32.515330139112
9,-0.0,-30.937049428939815,-0.0,-0.0,-30.12154270011783
10,-0.0,-27.728876782593655,-0.0,-0.0,-28.664928388948628
11,-0.0,-22.709605151817787,-0.0,-0.0,-27.047238543937553
12,-0.0,-19.013145326175582,-0.0,-0.0,-24.252760227055592
13,-0.0,-31.857842531198447,-12.782992048994592,-0.0,-23.80612496252162
14,-0.0,-34.644336105364026,-12.782992048994592,-0.0,-24.25292743980062
15,-0.0,-38.127586181960694,-12.782992048994592,-0.0,-24.961098127720852
16,-0.0,-26.791928433756784,-0.0,-0.0,-25.97287969756722
17,-0.0,-27.976535657737703,-0.0,-0.0,-27.158613042396798
18,-0.0,-27.49764770835966,-0.0,-0.0,-26.67928228529893
19,-0.0,-27.94755781032975,-0.0,-0.0,-27.129608854817686
20,-0.0,-26.964490869871984,-0.0,-0.0,-26.14561274470462
21,-0.0,-24.58197822788937,-0.0,-0.0,-23.760517505822182
22,-0.0,-20.018364310918844,-0.0,-0.0,-19.19008351719349
23,-0.0,-18.26591974590489,-0.0,-0.0,-17.43402224953468
24,-0.0,-24.204225344546565,-0.0,-0.0,-23.382304984866806
25,-0.0,-22.773417614693233,-0.0,-0.0,-21.949607108275156
26,-0.0,-25.670594650881586,-0.0,-0.0,-24.85037757360314
27,-0.0,-30.608171213820352,-0.0,-0.0,-29.792420500646063
28,-0.0,-37.56344808132799,-0.0,-0.0,-36.751905212651174
29,-0.0,-35.851114343747355,-0.0,-0.0,-35.03869433165775
30,-0.0,-37.76524302227468,-0.0,-0.0,-36.95379805269201
31,-0.0,-35.524158761917896,-0.0,-0.0,-34.71156118220021
32,-0.0,-33.925393912372286,-0.0,-0.0,-33.111876257985294
33,-0.0,-31.65770261833281,-0.0,-0.0,-30.842711810047994
34,-0.0,-30.46167152147978,-0.0,-0.0,-29.7525120116019
35,-0.0,-25.833157283614042,-0.0,-0.0,-28.162108188060795
36,-0.0,-22.61978369054752,-0.0,-0.0,-27.07755071940432
37,-0.0,-26.078564749570184,-0.0,-0.0,-27.657140328819096
38,-0.0,-40.625861759306666,-12.782992048994592,-0.0,-27.02482513077654
39,-0.0,-42.31512851381795,-12.782992048994592,-0.0,-28.71554724744286
40,-0.0,-43.93184449842547,-12.782992048994592,-0.0,-30.333499971210664
41,-0.0,-44.657408430863555,-12.782992048994592,-0.0,-31.059575911730345
42,-0.0,-44.98048531031546,-12.782992048994592,-0.0,-31.38287295755189
43,-0.0,-33.33411731126043,-0.0,-0.0,-32.52023586823359
44,-0.0,-32.05370850311963,-0.0,-0.0,-31.238990794119935
45,-0.0,-29.70194512260606,-0.0,-0.0,-28.885492501552754
46,-0.0,-24.35282629834128,-0.0,-0.0,-23.53108857517684
47,-0.0,-21.813534506501927,-0.0,-0.0,-20.988305401964276
48,-0.0,-18.689997617324213,-0.0,-0.0,-17.85904374241988
49,-0.0,-19.451258700398295,-0.0,-0.0,-18.62188563933697
50,-0.0,-21.000074418698755,-0.0,-0.0,-20.173532755671072
51,-0.0,-23.95634804738999,-0.0,-0.0,-23.13411762229697
52,-0.0,-28.04555125231053,-0.0,-0.0,-27.22769113100738
53,-0.0,-33.94227447972572,-0.0,-0.0,-33.12876702367509
54,-0.0,-37.309662015282264,-0.0,-0.0,-36.497994465402265
55,-0.0,-36.152317608569,-0.0,-0.0,-35.34005818846362
56,-0.0,-33.74699109128139,-0.0,-0.0,-32.933365089819304
57,-0.0,-31.624146897886305,-0.0,-0.0,-30.80913261738935
58,-0.0,-29.241581212066617,-0.0,-0.0,-28.42475436510257
59,-0.0,-27.94661406382035,-0.0,-0.0,-27.378768277580413
60,-0.0,-26.370178155090933,-0.0,-0.0,-26.20404690840877
61,-0.0,-26.609212299869046,-0.0,-0.0,-25.78998035039066
62,-0.0,-26.54451475780395,-0.0,-0.0,-25.725217291043055
63,-0.0,-27.35863289614677,-0.0,-0.0,-26.540135835996107
64,-0.0,-27.902456079472184,-0.0,-0.0,-27.084466012654783
65,-0.0,-28.8624046720071,-0.0,-0.0,-28.045260074024338
66,-0.0,-28.999389912771488,-0.0,-0.0,-28.182361135452304
67,-0.0,-28.938269922023206,-0.0,-0.0,-28.121189613622743
68,-0.0,-27.408231656952484,-0.0,-0.0,-26.589781735033867
69,-0.0,-23.997722632943077,-0.0,-0.0,-23.17554444168035
70,-0.0,-20.015243022183764,-0.0,-0.0,-19.18695639422426
71,-0.0,-17.991363482386042,-0.0,-0.0,-17.158828855379866
72,-0.0,-16.979121044027007,-0.0,-0.0,-16.14403954342097
73,-0.0,-17.72261731919315,-0.0,-0.0,-16.88943790006279
74,-0.0,-19.09910846887678,-0.0,-0.0,-18.269021323943242
75,-0.0,-21.81329710515137,-0.0,-0.0,-20.988067640988827
76,-0.0,-25.74673441609162,-0.0,-0.0,-24.926600111221614
77,-0.0,-31.524236438898356,-0.0,-0.0,-30.709151952716176
78,-0.0,-34.626973967226,-0.0,-0.0,-33.81387105412448
