,biomethane boiler,large scale heat pump,TTES charge,TTES discharge,selling
0,-0.0,-5.757478190897922,-0.0,-0.0,-0.0
1,-0.0,-5.849325941139823,-0.0,-0.0,-0.0
2,-0.0,-6.515866327449486,-0.0,-0.0,-0.0
3,-0.0,-7.532138274160312,-0.0,-0.0,-0.0
4,-0.0,-9.026656316740219,-0.0,-0.0,-0.0
5,-0.0,-11.190275076784308,-0.0,-0.0,-0.0
6,-0.0,-12.053462477335225,-0.0,-0.0,-0.0
7,-0.0,-11.778630489785174,-0.0,-0.0,-0.0
8,-0.0,-11.32076399732229,-0.0,-0.0,-0.0
9,-0.0,-10.394054897120103,-0.0,-0.0,-0.0
10,-0.0,-9.096528170708382,-0.0,-0.0,-0.0
11,-0.0,-7.204408725896711,-0.0,-0.0,-0.0
12,-0.0,-5.846916326839547,-0.0,-0.0,-0.0
13,-0.0,-9.599605452550962,-12.782992048994592,-0.0,-0.0
14,-0.0,-10.293604371169714,-12.782992048994592,-0.0,-0.0
15,-0.0,-11.375953813525692,-12.782992048994592,-0.0,-0.0
16,-0.0,-8.405859907848766,-0.0,-0.0,-0.0
17,-0.0,-9.193605467459026,-0.0,-0.0,-0.0
18,-0.0,-9.331994147231589,-0.0,-0.0,-0.0
19,-0.0,-9.652296789402612,-0.0,-0.0,-0.0
20,-0.0,-9.442578105767215,-0.0,-0.0,-0.0
21,-0.0,-8.679886898910683,-0.0,-0.0,-0.0
22,-0.0,-7.078987401419504,-0.0,-0.0,-0.0
23,-0.0,-6.468881808933658,-0.0,-0.0,-0.0
24,-0.0,-8.69816329265511,-0.0,-0.0,-0.0
25,-0.0,-8.223877805089252,-0.0,-0.0,-0.0
26,-0.0,-9.313280141517321,-0.0,-0.0,-0.0
27,-0.0,-11.3053581136069,-0.0,-0.0,-0.0
28,-0.0,-14.121260976224214,-0.0,-0.0,-0.0
29,-0.0,-13.514310542821116,-0.0,-0.0,-0.0
30,-0.0,-14.376588306090166,-0.0,-0.0,-0.0
