,heat demand
0,24.9873364
1,25.3543374
2,28.1070136
3,32.5399671
4,39.0938066
5,49.060071
6,53.0667234
7,51.3277696
8,47.3700121
9,43.882619
10,41.7605479
11,39.4038136
12,35.3326736
13,34.681992
14,35.3329167
15,36.3646167
16,37.838632
17,39.56607
18,38.8677561
19,39.523815
20,38.0902788
21,34.615549
22,27.9571048
23,25.398784
24,34.0645492
25,31.9773213
26,36.2033133
27,43.4031367
28,53.542073
29,51.0461795
30,53.8362013
31,50.5695949
32,48.2390908
33,44.9332551
34,43.3449958
35,41.0280135
36,39.4479742
37,40.2923499
38,39.3711609
39,41.8342919
40,44.1914094
41,45.249194
42,45.7201901
43,47.3771585
44,45.5105751
45,42.0818768
46,34.2813048
47,30.5768471
48,26.017977
49,27.1293246
50,29.389844
51,33.7029773
52,39.6667067
53,48.2636986
54,53.1721631
55,51.4852213
56,47.9790268
57,44.8843352
58,41.4106499
59,39.8868033
60,38.1754088
61,37.5721748
62,37.4778247
63,38.6650401
64,39.4580483
65,40.8577827
66,41.0575192
67,40.9684012
68,38.7373673
69,33.76333
70,27.9525488
71,24.9978679
72,23.5194704
73,24.6054053
74,26.6152533
75,30.576501
76,36.3143581
77,44.7386779
78,49.2617936
79,48.9764794
80,44.8657875
81,41.6400671
82,38.8925355
83,36.9831253
84,35.8564573
85,35.3655319
86,35.0904158
87,35.3582525
88,36.4083777
89,36.4941324
90,36.8709273
91,36.8546668
92,34.9329249
93,30.0435092
94,25.1329578
95,22.972485
96,38.6960193
97,40.4687238
98,43.8048048
99,50.3302328
100,59.7212015
101,73.4124104
102,80.7344865
103,80.3150112
104,73.5568591
105,68.2654725
106,63.7537041
107,60.6256249
108,58.7638983
109,57.9588201
110,57.4881617
111,57.9042784
112,59.5955603
113,59.6791741
114,60.2736944
115,60.2278429
116,57.0588238
117,49.0371856
118,41.108399
119,37.7131451
120,55.1667067
121,56.8297072
122,60.3001665
123,65.6755055
124,78.9622915
125,94.6691169
126,103.191433
127,99.8340169
128,95.281262
129,90.6760053
130,85.6902712
131,81.9083226
132,79.854568
133,78.7043836
134,79.4276597
135,80.4005782
136,80.8092042
137,80.258843
138,79.2405012
139,78.5017081
140,74.109656
141,65.3640057
142,56.4957244
143,53.7158665
144,63.4730644
145,65.7404474
146,68.2934719
147,74.2254903
148,89.7064148
149,111.496632
150,121.812252
151,117.389714
152,111.74612
153,106.707736
154,100.894741
155,95.8241061
156,93.0983376
157,91.5923329
158,92.2723481
159,93.4092213
160,94.0587305
161,94.0859981
162,93.3966222
