,TTES
0,18.676430915625062
1,18.67499340478216
2,18.67354963458049
3,18.672098416757564
4,18.67065905004296
5,18.669222654610394
6,18.667770867060685
7,18.66625266698701
8,18.664752409039966
9,18.66329376707567
10,18.661893864372605
11,18.660548652993402
12,18.65924077650875
13,31.440949935396077
14,44.22176563674271
15,57.00148496199008
16,56.99702069119009
17,56.99237273131902
18,56.98762158621706
19,56.982792288361075
20,56.97791191790946
21,56.97302341602222
22,56.96812724987664
23,56.96315287777375
24,56.95814614707904
25,56.95313253123062
26,56.948014678716596
27,56.94279656726851
28,56.9375568534723
29,56.93224137178367
30,56.92694200039465
31,56.92162219633675
32,56.91639691989122
33,56.911429003660835
34,56.906723363764655
35,56.902385923692634
36,56.898306703629665
37,56.894331707127755
38,69.67341482662465
39,82.45164636381621
40,95.22892162939429
41,108.00523605442079
42,120.78047132029737
43,120.77162934964777
44,120.76269733658079
45,120.7539251237399
46,120.74532660491056
47,120.7366112298156
48,120.72788658568665
49,120.71909947056801
50,120.71025803619622
51,120.70131648261808
52,120.69231135534756
53,120.68335529789881
54,120.67436619938628
55,120.66533553946682
56,120.65629514000722
57,120.64731094522001
58,120.63850671916528
59,120.62977075649708
60,120.62106189333369
61,120.6122683237269
62,120.60346467577743
63,120.59459817498511
64,120.5856906585546
65,120.57676160108119
66,120.56779975329093
67,120.55883689919257
68,120.54988033762098
69,120.54100781700267
70,120.5320297800199
71,120.5230375095134
72,120.51393260773287
73,120.50479671042739
74,120.4956694049042
75,120.48649918524893
76,120.47724632152804
77,120.4678217296675
78,120.45832944307888
79,120.44875618406071
80,120.43922628870958
81,120.42985046156001
82,120.42095457911229
83,120.4124772626642
84,133.18752981864048
85,145.96208081292244
86,158.73569703027695
87,171.50848843511636
88,184.28027573628714
89,197.0508485885289
90,209.8200446890778
91,222.587836263038
92,222.587836263038
93,222.587836263038
94,222.587836263038
95,222.587836263038
96,222.587836263038
97,222.587836263038
98,222.587836263038
99,222.587836263038
100,222.587836263038
101,222.49998081773342
102,217.31186372000403
103,212.50921964361078
104,212.3772213274091
105,215.6335676749329
106,221.86180101997027
107,222.587836263038
108,222.587836263038
109,222.587836263038
110,222.587836263038
111,222.587836263038
112,222.587836263038
113,222.587836263038
114,222.587836263038
115,222.5670231428907
116,222.54614687136257
117,222.5253321905557
118,222.587836263038
119,222.587836263038
120,222.587836263038
121,222.587836263038
122,222.587836263038
123,222.587836263038
124,215.83134272492177
125,198.34658189151196
126,175.0953206673193
127,154.26185119887148
128,136.5347041992602
129,122.07133998599588
130,113.67350749641528
131,110.37913507674156
132,109.16297570168231
133,106.89901119717669
134,104.35556953171049
135,98.50023759623384
136,92.19613452615016
137,84.26070644546701
138,76.46858442070527
139,68.65521992062499
140,63.90540454510437
141,64.74693779653941
142,71.90615949660413
143,80.37322881603401
144,81.8297393598693
145,81.82161731095647
146,80.02331602931422
147,74.23040054283587
148,57.52039888498853
149,40.89457101689531
150,37.78959622596591
151,37.78578471506533
152,37.782021499802674
153,37.778317332014986
154,37.77469237141399
155,37.77108409819706
156,37.76751620469079
157,37.76399015214335
158,37.7604706677842
159,37.75689237237783
160,37.75331191629088
161,37.749789499405956
162,37.74630387629201
163,37.74281764676562
164,37.73931903042634
165,37.73581893166338
166,40.69334214943515
167,45.993949404224615
168,51.45596980944807
169,54.76048504405753
170,55.283558826041045
171,55.278134129982405
172,55.272651236852596
173,55.26722454429746
174,55.261941013990125
175,55.25672077685148
176,55.25157165280266
177,55.246482858240135
178,55.24137624627848
179,55.23628166592699
180,55.23122945622517
181,55.22615535047184
182,55.221082580910625
183,55.21597037775455
184,55.21070421112093
185,55.20520144415248
186,55.19969811203712
187,55.19433712072366
188,55.189128486655086
189,55.183968296242945
190,56.67527460021745
191,60.50505306899686
192,65.54884355726928
193,70.9001585347839
194,71.4599496051887
195,71.45330472348209
196,71.44671042117466
197,71.44025092972977
198,71.43399656594136
199,71.42779008601164
200,71.42155464764915
201,71.41525265649993
202,71.40882167193445
203,71.402455968945
204,71.39618105092583
205,71.3899705646577
206,71.38366663236384
207,71.37731397336985
208,71.37088109544621
209,71.36440960253869
210,71.35785909628027
211,71.3512500742292
212,71.34466267373946
213,71.33805221725343
214,72.27750999903037
215,77.17228440177311
216,81.48992996350752
217,85.23652531372846
218,85.22860341470039
219,85.22058412202234
220,85.21259901158099
221,85.20457295421784
222,85.19658590276967
223,85.18856564850428
224,85.18058675719232
225,85.17268020858603
226,85.1648406605185
227,85.15706970819011
228,85.14936802982608
229,85.14167274305363
230,85.13402157645704
231,85.12639858294334
232,85.11868288050995
233,85.11090089854369
234,85.10310975305345
235,85.09531207756245
236,85.0874890380634
237,85.07965180404763
238,88.38899444066814
239,94.49648120995741
240,98.57561072668024
241,101.37556323425743
242,101.36614910206329
243,101.35670957192248
244,101.34718752310036
245,101.33756700693836
246,101.32791239229256
247,101.31827000190538
248,101.30865810743973
249,101.29915526848774
250,101.28973686404561
251,101.28045051340021
252,101.2712473296209
253,101.26212326003382
254,101.25299350527777
255,101.24379217634907
256,101.23450505828552
257,101.22504076892606
258,101.21549720011136
259,101.20578235409734
260,101.19603327749353
261,101.18605384453572
262,101.17602390980566
263,102.58437592927973
264,102.57418080204475
265,102.56384776904797
266,102.55347833101345
267,102.54312048487579
268,102.53269986665126
269,100.96952491634129
270,92.13716515742922
271,83.96566544517962
272,80.74232064928765
273,80.73429248128184
274,80.72631851167652
275,80.7183671621583
276,80.71045435943277
277,80.70258991589151
278,80.694704153189
279,80.6867426389732
280,80.67851181800297
281,80.67021276124643
282,80.66195616117882
283,80.65371826085993
284,80.64546019560613
285,80.6371929556095
286,80.62895514424304
287,80.6208410972357
288,80.61260653160859
289,80.60439430877514
290,80.59627007636666
291,80.588061341343
292,80.57975517515105
293,74.05416207956209
294,59.48133475689786
295,45.93025313296525
296,38.56763871105461
297,36.282831704233935
298,36.27922888047254
299,36.27566783863317
300,36.27216494562439
301,36.268709388383684
302,36.265264291356296
303,36.261755841037434
304,36.258212907903776
305,36.25464947133385
306,36.25103074579976
307,36.247405913375374
308,36.243772027309795
309,36.24012301217074
310,36.2365307345842
311,36.23291772537563
312,36.22925428974046
313,36.225575760304125
314,36.22186432592243
315,36.218130911996845
316,36.21440146861678
317,32.224017844872314
318,21.032272529878128
319,10.153254213541922
320,4.342590296706106
321,4.34216751789145
322,4.341757215423184
323,4.341361386704872
324,4.340981393820004
325,4.340613181672376
326,4.340247162738653
327,4.3398743195005425
328,4.339480559027661
329,4.339075221900456
330,4.338666158326206
331,4.3382487842213
332,4.337820344710432
333,4.337387079093474
334,4.3369540291799815
335,4.336519018062309
336,4.336084064237753
337,4.335651144418823
338,4.33521262256254
339,4.3347750280298785
340,4.334337341092067
341,4.333901182191033
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
