,TTES
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,-12.782992048994595
14,-12.782992048994595
15,-12.782992048994595
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,-12.782992048994595
39,-12.782992048994595
40,-12.782992048994595
41,-12.782992048994595
42,-12.782992048994595
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,-12.782992048994595
85,-12.782992048994595
86,-12.782992048994595
87,-12.782992048994595
88,-12.782992048994595
89,-12.782992048994595
90,-12.782992048994595
91,-12.782992048994595
92,-0.01678885048443135
93,-0.017641583149611506
94,-0.017794001283448324
95,-0.01827117907694742
96,-0.018663442949758746
97,-0.01907128596781149
98,-0.01940615111524835
99,-0.019576388740887296
100,-0.019603480796774875
101,0.06820509485486781
102,5.168522060198747
103,4.783518410589423
104,0.11330043240005239
105,-3.2751322506673333
106,-6.247652493791229
107,-0.7460919354757891
108,-0.020137355941358237
109,-0.020190814861990702
110,-0.02020681781451117
111,-0.020282040705978943
112,-0.02051515115962843
113,-0.020685261910188046
114,-0.02081464977095493
115,0.0
116,0.0
117,0.0
118,-0.0833281699763404
119,-0.020832761298009927
120,-0.020854652366523396
121,-0.020915557518065953
122,-0.020925667457589725
123,-0.020915138607762174
124,6.7356014108616264
125,17.464547647577312
126,23.23274218341014
127,20.817109185899476
128,17.712767168154464
129,14.45070547134707
130,8.386636241654188
131,3.2839869761348766
132,1.2061804893063908
133,2.254158335996152
134,2.5338082706850287
135,5.84588017865434
136,6.294771993643835
137,7.926568171832336
138,7.7839212082637275
139,7.80592934468477
140,4.743204856247807
141,-0.8476485161002998
142,-7.165497629615672
143,-8.474063314386044
144,-1.464449966739167
145,0.0
146,1.7901854040942737
147,5.7849324199285945
148,16.702487996355067
149,16.619916752320577
150,3.1008247608300223
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,-2.9610426460565122
167,-5.304389327662221
168,-5.466313072494515
169,-3.3093524572497373
170,-0.5283684649114235
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,-1.49644047216065
191,-3.835039055865991
192,-5.049396861743226
193,-5.357377261852172
194,-0.5662966814210435
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,-0.9461654552074847
215,-4.901598618791404
216,-4.324817242549777
217,-3.754252636646939
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,-3.3171443838577375
239,-6.115627150574561
240,-4.087821120875304
241,-2.8090844406658917
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,-1.4184497935902485
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,1.5527992930888956
270,8.822168001690827
271,8.16215207841833
272,3.214957699918827
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,6.517255827175077
294,14.565232186876287
295,13.545072316699745
296,7.357967004521811
297,2.2809583134979476
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,3.9866580348539173
318,11.188416058559866
319,10.87685286493668
320,5.809643648698625
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,4.333468094865154
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,-3.3752887368682636
384,-7.966254501377563
385,-6.561443566556328
386,-3.3247999604441745
387,0.9353875466322563
388,11.272016165883016
389,9.012872271070883
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,-6.243649587733117
407,-8.648192762014403
408,-8.602854213109076
409,-7.284009148639122
410,-4.534698224684099
411,-0.509839991147409
412,9.455991805529791
413,21.21868304230769
414,5.132477990959345
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,-5.987747917465732
431,-7.862086490419742
432,-5.965661614505336
433,-3.7162478833310786
434,-0.5432159686264768
435,2.984741355731785
436,13.276555714506266
437,7.802438135847272
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,-0.3033915954737125
454,-7.200638391368948
455,-9.859780615895652
456,-8.739794632315878
457,-7.371907549301461
458,-4.56448087115772
