,TTES,PTES,elec market,curtailment
0,7.606819591570612e-05,3.511815044775101e-05,1.0,1.0
1,7.69692480633474e-05,3.553413618924539e-05,1.0,1.0
2,7.731034616232425e-05,3.569160981160638e-05,1.0,1.0
3,7.77151556599879e-05,3.587849686302776e-05,1.0,1.0
4,7.708649987407373e-05,3.558826744186406e-05,1.0,1.0
5,7.693330070929243e-05,3.551754049412336e-05,1.0,1.0
6,7.776368458796205e-05,3.5900901051442496e-05,1.0,1.0
7,8.132733610495192e-05,3.7546120168452814e-05,1.0,1.0
8,8.037274354527122e-05,3.710541660340022e-05,1.0,1.0
9,7.81495477154885e-05,3.60790411953172e-05,1.0,1.0
10,7.500834104515154e-05,3.462885078251164e-05,1.0,1.0
11,7.208332599120172e-05,3.32784688326048e-05,1.0,1.0
12,7.008778264009873e-05,3.235719298551226e-05,1.0,1.0
13,6.875360716710001e-05,3.174124864214452e-05,1.0,1.0
14,6.922016153172866e-05,3.195664124048142e-05,1.0,1.0
15,7.400708036170657e-05,3.416660210032121e-05,1.0,1.0
16,7.831850027954684e-05,3.61570409623908e-05,1.0,1.0
17,8.154741849377786e-05,3.764772487129412e-05,1.0,1.0
18,8.336457838675866e-05,3.848664702188694e-05,1.0,1.0
19,8.474292681424023e-05,3.912298454590759e-05,1.0,1.0
20,8.564638954915335e-05,3.954008317519248e-05,1.0,1.0
21,8.579643803407927e-05,3.960935555906661e-05,1.0,1.0
22,8.59383243550844e-05,3.967485974393065e-05,1.0,1.0
23,8.731851244127353e-05,4.031204657705463e-05,1.0,1.0
24,8.789419874371254e-05,4.0577821753347295e-05,1.0,1.0
25,8.80228056892197e-05,4.063719529318978e-05,1.0,1.0
26,8.986077275654763e-05,4.1485723422606175e-05,1.0,1.0
27,9.162938257605172e-05,4.230223162261056e-05,1.0,1.0
28,9.201714879879284e-05,4.2481250362109376e-05,1.0,1.0
29,9.335633575585696e-05,4.309950834062064e-05,1.0,1.0
30,9.308207858991996e-05,4.297289294901305e-05,1.0,1.0
31,9.344967200338548e-05,4.314259857489632e-05,1.0,1.0
32,9.179774306604334e-05,4.237995804882336e-05,1.0,1.0
33,8.72844470369308e-05,4.029631971538306e-05,1.0,1.0
34,8.268356633693855e-05,3.817224645888665e-05,1.0,1.0
35,7.622016864134917e-05,3.518831118942288e-05,1.0,1.0
36,7.168803196961133e-05,3.309597475930391e-05,1.0,1.0
37,6.986142003706447e-05,3.225268891711144e-05,1.0,1.0
38,6.870507823912586e-05,3.171884445372978e-05,1.0,1.0
39,6.832608739987459e-05,3.1543877016275445e-05,1.0,1.0
40,6.933498160968072e-05,3.2009649843135945e-05,1.0,1.0
41,7.012180575343667e-05,3.237290032283661e-05,1.0,1.0
42,7.18185843013381e-05,3.315624641911776e-05,1.0,1.0
43,7.32069556969502e-05,3.379721121342536e-05,1.0,1.0
44,7.395787477765599e-05,3.414388552235119e-05,1.0,1.0
45,7.264008706900584e-05,3.3535506863524375e-05,1.0,1.0
46,7.120695064484402e-05,3.2873875547703e-05,1.0,1.0
47,7.217981291858562e-05,3.332301363074704e-05,1.0,1.0
48,7.226179403133331e-05,3.33608615777989e-05,1.0,1.0
49,7.278446855929251e-05,3.360216298487338e-05,1.0,1.0
50,7.323973122564745e-05,3.381234258250725e-05,1.0,1.0
51,7.407451336881315e-05,3.419773367193542e-05,1.0,1.0
52,7.460670337284572e-05,3.444342805713045e-05,1.0,1.0
53,7.420570006561144e-05,3.425829819695729e-05,1.0,1.0
54,7.448498986111606e-05,3.4387236985881915e-05,1.0,1.0
55,7.483494792559232e-05,3.45488009589818e-05,1.0,1.0
56,7.4921263866329e-05,3.458865015162189e-05,1.0,1.0
57,7.446105315241601e-05,3.437618620536541e-05,1.0,1.0
58,7.297490495377425e-05,3.36900811203258e-05,1.0,1.0
59,7.241437997654544e-05,3.343130542250516e-05,1.0,1.0
60,7.219497424379593e-05,3.333001310921913e-05,1.0,1.0
61,7.290243931709995e-05,3.365662615139449e-05,1.0,1.0
62,7.299131386362527e-05,3.3697656567040346e-05,1.0,1.0
63,7.351779458201369e-05,3.3940715165363e-05,1.0,1.0
64,7.38633120909891e-05,3.410022908200664e-05,1.0,1.0
65,7.404740483475527e-05,3.41852185653787e-05,1.0,1.0
66,7.432483382605002e-05,3.431329828302643e-05,1.0,1.0
67,7.433870527561482e-05,3.431970226890886e-05,1.0,1.0
68,7.429203715185043e-05,3.429815715177096e-05,1.0,1.0
69,7.360041005983303e-05,3.397885597762292e-05,1.0,1.0
70,7.44811836706867e-05,3.43854797946337e-05,1.0,1.0
71,7.460482142313338e-05,3.444255922367992e-05,1.0,1.0
72,7.554490816817787e-05,3.487656593764213e-05,1.0,1.0
73,7.580781019933392e-05,3.499793904202584e-05,1.0,1.0
74,7.574225914193958e-05,3.4967676303862114e-05,1.0,1.0
75,7.610414326976121e-05,3.51347461428731e-05,1.0,1.0
76,7.679585494378817e-05,3.5454086365715553e-05,1.0,1.0
77,7.822715170924244e-05,3.6114868372433605e-05,1.0,1.0
78,7.87952044853204e-05,3.637711940405626e-05,1.0,1.0
79,7.947361563834707e-05,3.669031921970358e-05,1.0,1.0
80,7.911991481994869e-05,3.652702734187632e-05,1.0,1.0
81,7.784695557635524e-05,3.593934449108401e-05,1.0,1.0
