time,DeltaT-air-sink55,DeltaT-ground-sink55,COP-dec-air-sink55,COP-dec-ground-sink55
2022-01-01 00:00:00,45.973694,45.973694,2.9991574,3.1718216
2022-01-01 01:00:00,46.39981,46.39981,2.9804883,3.1295705
2022-01-01 02:00:00,46.561127,46.561127,2.9734674,3.1136904
2022-01-01 03:00:00,46.752563,46.752563,2.9651704,3.0949247
2022-01-01 04:00:00,46.45526,46.45526,2.9780722,3.124105
2022-01-01 05:00:00,46.382812,46.382812,2.9812293,3.1312475
2022-01-01 06:00:00,46.775513,46.775513,2.9641778,3.0926814
2022-01-01 07:00:00,48.460815,48.460815,2.8927517,2.9313698
2022-01-01 08:00:00,48.00937,48.00937,2.9116063,2.973912
2022-01-01 09:00:00,46.958008,46.958008,2.956306,3.0748842
2022-01-01 10:00:00,45.472473,45.472473,3.0213504,3.222076
2022-01-01 11:00:00,44.089203,44.089203,3.0839005,3.3638976
2022-01-01 12:00:00,43.145477,43.145477,3.127673,3.463289
2022-01-01 13:00:00,42.514526,42.514526,3.157435,3.530932
2022-01-01 14:00:00,42.73517,42.73517,3.146982,3.5071685
2022-01-01 15:00:00,44.998962,44.998962,3.0425465,3.2701066
2022-01-01 16:00:00,47.037903,47.037903,2.9528708,3.067118
2022-01-01 17:00:00,48.56488,48.56488,2.8884342,2.9216325
2022-01-01 18:00:00,49.424255,49.424255,2.8531954,2.8422155
2022-01-01 19:00:00,50.07608,50.07608,2.8269596,2.7831597
2022-01-01 20:00:00,50.503357,50.503357,2.8099923,2.7450027
2022-01-01 21:00:00,50.57431,50.57431,2.8071923,2.7387085
2022-01-01 22:00:00,50.64142,50.64142,2.8045487,2.7327662
2022-01-01 23:00:00,51.29413,51.29413,2.779072,2.6755385
2022-01-02 00:00:00,51.566376,51.566376,2.7685714,2.6519709
2022-01-02 01:00:00,51.627197,51.627197,2.7662356,2.64673
2022-01-02 02:00:00,52.4964,52.4964,2.7332597,2.572803
2022-01-02 03:00:00,53.332794,53.332794,2.702242,2.5033782
2022-01-02 04:00:00,53.516174,53.516174,2.6955347,2.4883807
2022-01-02 05:00:00,54.149506,54.149506,2.6726289,2.4372067
2022-01-02 06:00:00,54.019806,54.019806,2.677287,2.4476082
2022-01-02 07:00:00,54.193634,54.193634,2.671048,2.4336772
2022-01-02 08:00:00,53.412415,53.412415,2.6993256,2.4968562
2022-01-02 09:00:00,51.278015,51.278015,2.7796955,2.6769388
2022-01-02 10:00:00,49.102203,49.102203,2.8663146,2.8717694
2022-01-02 11:00:00,46.045563,46.045563,2.9959962,3.1646647
2022-01-02 12:00:00,43.902252,43.902252,3.092501,3.3834164
2022-01-02 13:00:00,43.03842,43.03842,3.1326947,3.4746993
2022-01-02 14:00:00,42.491577,42.491577,3.158525,3.53341
2022-01-02 15:00:00,42.312347,42.312347,3.1670558,3.5528092
2022-01-02 16:00:00,42.78946,42.78946,3.1444173,3.501339
2022-01-02 17:00:00,43.16156,43.16156,3.1269195,3.4615767
2022-01-02 18:00:00,43.96399,43.96399,3.0896568,3.3769617
2022-01-02 19:00:00,44.620575,44.620575,3.059646,3.3088746
2022-01-02 20:00:00,44.975708,44.975708,3.0435934,3.2724786
2022-01-02 21:00:00,44.35251,44.35251,3.0718465,3.3365474
2022-01-02 22:00:00,43.674744,43.674744,3.1030145,3.4072843
2022-01-02 23:00:00,44.134827,44.134827,3.081807,3.359146
2022-01-03 00:00:00,44.173584,44.173584,3.08003,3.3551147
2022-01-03 01:00:00,44.420776,44.420776,3.0687327,3.329484
2022-01-03 02:00:00,44.636078,44.636078,3.0589426,3.307279
2022-01-03 03:00:00,45.030853,45.030853,3.041112,3.2668543
2022-01-03 04:00:00,45.28253,45.28253,3.0298257,3.2412775
2022-01-03 05:00:00,45.092896,45.092896,3.0383239,3.260535
2022-01-03 06:00:00,45.224976,45.224976,3.032401,3.2471135
2022-01-03 07:00:00,45.390472,45.390472,3.0250049,3.2303553
2022-01-03 08:00:00,45.431305,45.431305,3.023184,3.2262301
2022-01-03 09:00:00,45.213654,45.213654,3.032908,3.2482622
2022-01-03 10:00:00,44.510834,44.510834,3.064632,3.3201826
2022-01-03 11:00:00,44.245758,44.245758,3.0767252,3.3476157
2022-01-03 12:00:00,44.142,44.142,3.081478,3.3584
