name,co2_emissions,color,nice_name
heat,0.0,#c4071b,Hot water for the district
electricity,0.107,#CCCCCC,Electricity for the district
grid electricity,0.107,#CCCCCC,Electricity from the grid
biomethane,0.152,#679a1d,Biomethane for the district
pv,0.0,#f9ba00,PV energy
st,0.0,#d64c13,Solar thermal energy
battery storage,0.0,#ffdc00,Battery storage
TTES,0.0,#9c0d16,Tank thermal storage
PTES,0.0,#f9ba00,Pit thermal storage
geothermal,0.0,#0f1b5f,Geothermal energy
geothermal hp,0.0,#0f1b5f,Geothermal booster heat pump energy
heat pump,0.0,#00778a,Large-scale heat pump
biomethane boiler,0.0,#679a1d,Biomethane boiler
biomethane CHP,0.0,#007c30,Biomethane combined heat and power
dec air heat pump,0.107,#005293,Decentral air heat pump
dec ground heat pump,0.107,#0f1b5f,Decentral ground heat pump
load,0.0,#CCCCCC,Load
