,biomass boiler,biomethane boiler,biomethane CHP,large scale heat pump,geothermal plant,TTES charge,TTES discharge,elec boiler,PTES charge,PTES discharge,selling
0,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
1,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
2,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
3,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
4,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
5,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
6,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
7,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
8,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
9,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
10,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
11,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
12,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
13,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
14,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
15,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
16,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
17,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
