,biomethane boiler,biomethane CHP,large scale heat pump,TTES charge,TTES discharge,heating_grid_92MW
0,-0.0,-0.0,-15.231075806699176,-0.0,-0.0,-14.606657103756206
1,-0.0,-0.0,-15.468170134801023,-0.0,-0.0,-14.844178257155079
2,-0.0,-0.0,-17.042664190764732,-0.0,-0.0,-16.421181194539614
3,-0.0,-0.0,-19.62209605953358,-0.0,-0.0,-19.003793194147782
4,-0.0,-0.0,-23.486930835363395,-0.0,-0.0,-22.872011621685484
5,-0.0,-0.0,-29.453264845853113,-0.0,-0.0,-28.841748580224273
6,-0.0,-0.0,-31.954867844440482,-0.0,-0.0,-31.344385048803254
7,-0.0,-0.0,-30.90623519064543,-0.0,-0.0,-30.295340394018158
8,-0.0,-1.961464808546185,-25.901891125283612,-0.0,-0.0,-27.958469415900446
9,-0.0,-0.4796759867517747,-25.86109489255875,-0.0,-0.0,-25.90068525052658
10,-0.0,-0.0,-24.58653225449628,-0.0,-0.0,-24.63446831369928
11,-0.0,-0.0,-23.576425332340396,-3.811943186872476,-0.0,-23.247174526319522
12,-0.0,-0.0,-26.1760525209034,-9.861963888917835,-0.0,-20.91936324920444
13,-0.0,-0.0,-41.21959792088284,-25.091819297271446,-0.0,-20.539167411390114
14,-0.0,-0.0,-36.21267955721297,-17.80581547116322,-0.0,-20.924733889834343
15,-0.0,-0.0,-29.603735706179343,-9.178960950319595,-0.0,-21.541390845891012
16,-0.0,-0.0,-23.04941872349679,-0.0,-0.0,-22.434176690115645
17,-0.0,-0.0,-24.09013600879593,-0.0,-0.0,-23.475641595517935
18,-0.0,-0.0,-23.720280075695918,-0.0,-0.0,-23.10552789986859
19,-0.0,-1.241292532207936,-22.420029052078597,-0.0,-0.0,-23.494282589910654
20,-0.0,-1.1138477661267316,-21.747891432438553,-0.0,-0.0,-22.648159803196123
21,-0.0,-0.6596330718867378,-20.282053276807904,-0.0,-0.0,-20.562679538002655
22,-0.0,-0.0,-17.15509966552451,-0.0,-0.0,-16.53377680623227
23,-0.0,-0.0,-15.522173460720934,-0.0,-0.0,-14.898276815552961
24,-0.0,-0.42362899507090823,-19.27169192041532,-0.0,-0.0,-19.22995803139437
25,-0.0,-0.17534264096885455,-18.490646771520343,-0.0,-0.0,-18.10989689159033
26,-0.0,-0.7648585071327858,-20.029822394903665,-0.0,-0.0,-20.453505424710908
27,-0.0,-1.8447084131898406,-22.597781395322666,-0.0,-0.0,-24.49361620305739
28,-0.0,-3.372466103794032,-26.266577235177756,-0.0,-0.0,-30.243783928628872
29,-0.0,-3.129671792794822,-25.551022016096873,-0.0,-0.0,-29.197472974856403
30,-0.0,-3.640642192989482,-26.643145559707847,-0.0,-0.0,-30.985491718287292
31,-0.0,-3.1480661347568226,-25.44484327253847,-0.0,-0.0,-29.11628339456359
32,-0.0,-2.2576595570452564,-25.276908115582014,-0.0,-0.0,-27.7363417502518
33,-0.0,-1.187770120975492,-24.827682548825837,-0.0,-0.0,-25.830570893271194
34,-0.0,-0.0,-25.502429917238455,-0.0,-0.0,-24.888847460360193
35,-0.0,-0.0,-22.021729505150763,-0.0,-0.0,-23.558882760026172
36,-0.0,-0.0,-18.859823964632806,-0.0,-0.0,-22.675623637308732
37,-0.0,-0.0,-28.456520742831476,-6.494081737025223,-0.0,-23.13079756075482
38,-0.0,-0.0,-24.937381448970456,-1.6832492123244656,-0.0,-22.639042849610586
39,-0.0,-0.0,-24.645606737636722,-0.0,-0.0,-24.031484139237552
40,-0.0,-0.0,-26.0059430608517,-0.0,-0.0,-25.392660582309635
41,-0.0,-0.0,-26.654435809531957,-0.0,-0.0,-26.041522170417473
42,-0.0,-0.0,-26.94514299894722,-0.0,-0.0,-26.332388662365698
43,-0.0,-0.0,-27.876418903636505,-0.0,-0.0,-27.26415147932515
44,-0.0,-0.0,-26.813123073536282,-0.0,-0.0,-26.2002968412151
45,-0.0,-0.0,-24.801571099659697,-0.0,-0.0,-24.1875497461672
46,-0.0,-0.0,-20.232655145631693,-0.0,-0.0,-19.614978471755425
47,-0.0,-0.0,-17.98948204300651,-0.0,-0.0,-17.36928028459574
48,-0.0,-0.0,-15.466966513827881,-0.0,-0.0,-14.842972505405196
49,-0.0,-0.0,-16.11174726034549,-0.0,-0.0,-15.48884521304546
50,-0.0,-0.0,-17.377081322476734,-0.0,-0.0,-16.756068059958753
51,-0.0,-0.0,-19.830572681261312,-0.0,-0.0,-19.21248825844393
52,-0.0,-0.0,-23.277370886222066,-0.0,-0.0,-22.662298647911424
53,-0.0,-1.7087122839037843,-26.016687410721335,-0.0,-0.0,-27.72929399709666
54,-0.0,-0.0,-31.28271794862816,-0.0,-0.0,-30.67197437827656
55,-0.0,-1.7241845435674505,-27.9423915958924,-0.0,-0.0,-29.67693292467956
56,-0.0,-1.3968202387712552,-26.357823671448447,-0.0,-0.0,-27.646071342332593
57,-0.0,-0.4850118338924674,-25.80802602705831,-0.0,-0.0,-25.85484989870576
58,-0.0,-0.0,-24.480545764381493,-0.0,-0.0,-23.866314535606655
59,-0.0,-0.0,-23.589650289864633,-0.0,-0.0,-22.974805035516514
60,-0.0,-0.0,-22.628499056346318,-0.0,-0.0,-22.01293397702825
61,-0.0,-0.0,-22.28374146737279,-0.0,-0.0,-21.66790216390842
62,-0.0,-0.0,-22.24551459175531,-0.0,-0.0,-21.6296443275501
63,-0.0,-0.0,-22.933618932465095,-0.0,-0.0,-22.318289275936817
64,-0.0,-0.0,-23.425757855399947,-0.0,-0.0,-22.81079427093113
65,-0.0,-0.0,-24.259517277029808,-0.0,-0.0,-23.64513814429344
66,-0.0,-0.0,-24.39693946780554,-0.0,-0.0,-23.782652624932823
67,-0.0,-0.8189601939498257,-23.247823451297975,-0.0,-0.0,-23.747680016786
68,-0.0,-0.0,-23.092778024600012,-0.0,-0.0,-22.477568561279153
69,-0.0,-0.0,-20.224770920982817,-0.0,-0.0,-19.607086417936387
70,-0.0,-0.0,-16.767970619788443,-0.0,-0.0,-16.14608661929617
71,-0.0,-0.0,-14.95536192020642,-0.0,-0.0,-14.330428262793742
72,-0.0,-0.0,-14.256026971124422,-0.0,-0.0,-13.629689032929146
73,-0.0,-0.0,-14.893867817249019,-0.0,-0.0,-14.268816462554616
74,-0.0,-0.0,-16.036317423581917,-0.0,-0.0,-15.413292558750843
75,-0.0,-0.0,-18.323889797244426,-0.0,-0.0,-17.704106578421047
76,-0.0,-0.3056311049464018,-21.26888162723324,-0.0,-0.0,-21.06834427485575
77,-0.0,-1.4680097837970578,-24.707271474124354,-0.0,-0.0,-26.091561600844862
78,-0.0,-2.169970834217242,-26.503016629689224,-0.0,-0.0,-28.84367085140435
79,-0.0,-2.152565770998674,-26.313388377765808,-0.0,-0.0,-28.630266966358825
80,-0.0,-1.6419568131158808,-24.612143156093307,-0.0,-0.0,-26.233159846614935
81,-0.0,-1.1389892505998864,-23.410463697468956,-0.0,-0.0,-24.346098980737132
82,-0.0,-0.0,-23.356919005574735,-0.0,-0.0,-22.74190519637929
83,-0.0,-0.0,-22.042710467196944,-0.0,-0.0,-21.622454240619707
84,-0.0,-0.0,-18.60137932302267,-0.0,-0.0,-20.97692479339291
85,-0.0,-0.0,-34.57717952634857,-14.622396501297516,-0.0,-20.6908255875549
86,-0.0,-0.0,-31.546375525092124,-10.569912902284553,-0.0,-20.548552628949132
87,-0.0,-0.0,-25.75786822252431,-4.415397406584095,-0.0,-20.72583489608845
88,-0.0,-0.0,-22.9729431675619,-0.9900650541837202,-0.0,-21.366792048066955
89,-0.0,-0.0,-22.095912999316145,-0.013317778960868054,-0.0,-21.466591730553578
90,-0.0,-0.0,-22.31977981103638,-0.0,-0.0,-21.703969592821206
91,-0.0,-0.0,-22.32413076077696,-0.0,-0.0,-21.7083240473251
92,-0.0,-0.0,-21.21250511449546,-0.0,-0.0,-20.595753299435692
93,-0.0,-0.0,-18.41592108078159,-0.05871238256790434,-0.0,-17.73746628382098
94,-0.0,-0.0,-15.391422825004355,-0.015797535370040805,-0.0,-14.75146851731177
95,-0.0,-0.0,-14.014745354851147,-0.016221174634978297,-0.0,-13.371630272387549
96,-0.0,-0.9410732574299601,-21.777379863961997,-0.016569425431896434,-0.0,-22.42585948609705
97,-0.0,-1.2752018571318098,-22.365172326067043,-0.016931511168877478,-0.0,-23.46860922459303
98,-0.0,-1.8263144780101355,-23.516189003930275,-0.017228804488240712,-0.0,-25.370301805595112
99,-0.0,-2.8166034499038037,-25.941553597325846,-0.017379943452823454,-0.0,-29.144682865489013
100,-0.0,-4.19873955425897,-29.56337559642223,-0.017403993048787925,-0.0,-34.64885936855484
101,-0.0,-6.347485005036578,-34.778886913718075,-0.0,-0.0,-42.80710342060883
