,biomethane boiler,biomethane CHP,large scale heat pump,TTES charge,TTES discharge,selling
0,-0.0,-0.0,-8.572965972917176,-11.547578776065823,-0.0,-0.0
1,-0.0,-0.0,-8.572965972917176,-11.25835529521704,-0.0,-0.0
2,-0.0,-0.0,-8.572965972917176,-9.430756841388664,-0.0,-0.0
3,-0.0,-0.0,-8.572965972917176,-6.737230583073252,-0.0,-0.0
4,-0.0,-0.0,-8.572965972917176,-2.775880094636552,-0.0,-0.0
5,-0.0,-0.0,-8.572965972917176,-0.0,-3.0312596078705845,-0.0
6,-0.0,-0.0,-8.572965972917176,-0.0,-5.470004750902781,-0.0
7,-0.0,-0.0,-8.572965972917176,-0.0,-4.671730343684061,-0.0
8,-0.0,-0.0,-8.859950247133453,-0.0,-2.4860090776659547,-0.0
9,-0.0,-0.0,-10.037315775705492,-3.3615674382951077,-0.0,-0.0
10,-0.0,-0.0,-11.55848162876788,-9.98542354279066,-0.0,-0.0
11,-0.0,-0.0,-13.546237645594648,-25.600467014713445,-0.0,-0.0
12,-0.0,-0.0,-13.629276870809514,-31.824467160079116,-0.0,-0.0
13,-0.0,-0.0,-13.629276870809514,-32.744564685726104,-0.0,-0.0
14,-0.0,-0.0,-12.225306036438711,-24.473755372151007,-0.0,-0.0
15,-0.0,-0.0,-10.572382286466393,-15.276786225637721,-0.0,-0.0
16,-0.0,-0.0,-8.572965972917176,-4.27512550272078,-0.0,-0.0
17,-0.0,-0.0,-8.572965972917176,-1.9977670541320798,-0.0,-0.0
18,-0.0,-0.0,-8.572965972917176,-1.5408157222422254,-0.0,-0.0
19,-0.0,-0.0,-8.572965972917176,-0.7136658354122503,-0.0,-0.0
20,-0.0,-0.0,-8.572965972917176,-1.2179596106535229,-0.0,-0.0
21,-0.0,-0.0,-8.572965972917176,-3.099710471084972,-0.0,-0.0
22,-0.0,-0.0,-8.572965972917176,-7.088022456221076,-0.0,-0.0
23,-0.0,-0.0,-8.572965972917176,-8.684963579481506,-0.0,-0.0
24,-0.0,-0.0,-8.572965972917176,-4.00781658402407,-0.0,-0.0
25,-0.0,-0.0,-8.572965972917176,-5.0109121044649285,-0.0,-0.0
26,-0.0,-0.0,-8.177566122485707,-1.4697915364334477,-0.0,-0.0
27,-0.0,-0.0,-0.0,-0.0,-25.10744284119459,-0.0
28,-0.0,-0.0,-0.0,-0.0,-30.85469972522549,-0.0
29,-0.0,-0.0,-0.0,-0.0,-29.8088313155748,-0.0
30,-0.0,-0.0,-0.0,-0.0,-31.596112264080002,-0.0
31,-0.0,-0.0,-0.0,-0.0,-29.727677432645077,-0.0
32,-0.0,-0.0,-0.7367536368015302,-0.0,-26.412219110781546,-0.0
33,-0.0,-0.0,-1.384934107957981,-0.0,-22.74798387385112,-0.0
34,-0.0,-0.0,-9.1240510162327,-0.0,-0.0,-0.0
35,-0.0,-0.0,-12.628367904126012,-15.642346779062414,-0.0,1.7763568394002505e-15
36,-0.0,-0.0,-13.629276870809514,-26.791103081997093,-0.0,-0.0
37,-0.0,-0.0,-11.994100996369035,-17.73619930296584,-0.0,-1.7763568394002505e-15
38,-0.0,-0.0,-9.40120443367731,-8.144389522383591,-0.0,-0.0
39,-0.0,-3.7253618993125874,-11.88429569228456,-19.17461626994229,-0.0,-0.0
40,-0.0,-6.878934593644227,-13.629276870809514,-26.986719537772196,-0.0,-0.0
41,-0.0,-0.0,-8.572965972917176,-2.0471350503131305,-0.0,-0.0
42,-0.0,-0.0,-8.572965972917176,-1.486927072470742,-0.0,-0.0
43,-0.0,-0.0,-8.572965972917176,-0.050102231054218294,-0.0,-0.0
44,-0.0,-0.0,-8.572965972917176,-0.7203219753292984,-0.0,-0.0
45,-0.0,-0.0,-8.572965972917176,-2.5289152227072655,-0.0,-0.0
46,-0.0,-0.0,-8.572965972917176,-7.475335001264106,-0.0,-0.0
47,-0.0,-0.0,-8.572965972917176,-10.120732585109863,-0.0,-0.0
48,-0.0,-0.0,-8.572965972917176,-12.356102217390127,-0.0,-0.0
49,-0.0,-0.0,-8.572965972917176,-11.693113022271895,-0.0,-0.0
50,-0.0,-0.0,-8.572965972917176,-10.294687157053549,-0.0,-0.0
51,-0.0,-0.0,-8.572965972917176,-7.714867443206344,-0.0,-0.0
52,-0.0,-0.0,-8.572965972917176,-4.035293806353497,-0.0,-0.0
53,-0.0,-0.0,-8.572965972917176,-0.0,-1.176637735913129,-0.0
54,-0.0,-0.0,-8.572965972917176,-0.0,-4.005654621823947,-0.0
55,-0.0,-0.0,-8.572965972917176,-0.0,-3.099780824483741,-0.0
56,-0.0,-0.0,-8.948381553827758,-0.034604531396830396,-0.0,-0.0
57,-0.0,-0.0,-9.588995544498403,-3.8174756063362913,-0.0,1.7763568394002505e-15
58,-0.0,-0.0,-9.798676871166315,-6.6152355938783,-0.0,-0.0
59,-0.0,-0.0,-10.830941456210201,-11.317100040350226,-0.0,1.7763568394002505e-15
60,-0.0,-0.0,-11.064077867717327,-13.240174845993717,-0.0,-0.0
61,-0.0,-0.0,-9.962564012026338,-10.020978438461743,-0.0,1.7763568394002505e-15
62,-0.0,-0.0,-9.845294883742156,-9.491537531551945,-0.0,-0.0
63,-0.0,-0.0,-7.120545915096017,-0.0,-0.0,-8.881784197001252e-16
64,-0.0,-0.0,-7.314646411381161,-0.0,-0.0,-0.0
65,-0.0,-0.0,-7.601401423613305,-0.0,-0.0,8.881784197001252e-16
66,-0.0,-0.0,-7.661101434266349,-0.0,-0.0,-0.0
67,-0.0,-0.0,-7.67177159178076,-0.0,-0.0,-8.881784197001252e-16
68,-0.0,-0.0,-7.267348396535651,-0.0,-0.0,-0.0
69,-0.0,-0.0,-6.362014534813922,-0.0,-0.0,-0.0
70,-0.0,-0.0,-8.572965972917176,-10.669739545262559,-0.0,-0.0
71,-0.0,-0.0,-4.713648954194087,-0.0,-0.0,-0.0
72,-0.0,-0.0,-8.572965972917176,-12.885080238337718,-0.0,-0.0
73,-0.0,-0.0,-8.572965972917176,-12.018562052166397,-0.0,-0.0
74,-0.0,-0.0,-8.572965972917176,-10.852789567071596,-0.0,-0.0
75,-0.0,-0.0,-8.572965972917176,-8.582707073266803,-0.0,-0.0
76,-0.0,-0.0,-6.940669385440967,-0.0,-0.0,-0.0
77,-0.0,-0.0,-8.572965972917176,-0.0,-0.1278336398588813,-0.0
78,-0.0,-0.0,-0.39539985043146864,-0.0,-28.246770426201056,-0.0
79,-0.0,-0.0,-0.0,-0.0,-29.241879019678578,-0.0
80,-0.0,-0.0,-0.04067026787202899,-0.0,-26.723056327361487,-0.0
81,-0.0,-0.0,-8.218236390357736,-0.0,-0.0,-0.0
82,-0.0,-0.0,-9.588356710375416,-6.169020273041465,-0.0,-0.0
83,-0.0,-0.0,-11.092235462912463,-13.37839281092053,-0.0,-0.0
84,-0.0,-0.0,-12.63497177987125,-25.19459071434714,-0.0,-0.0
85,-0.0,-2.9032839985276637,-13.629276870809514,-30.531962599609695,-0.0,-0.0
86,-0.0,-4.162234799084632,-13.629276870809514,-31.690507264643763,-0.0,-0.0
87,-0.0,-5.960945599006408,-13.629276870809514,-32.78464473559866,-0.0,-0.0
88,-0.0,-6.878934593644227,-13.629276870809514,-33.05153387601426,-0.0,-0.0
89,-0.0,-6.878934593644227,-13.629276870809514,-32.33650198008427,-0.0,-0.0
90,-0.0,-6.878934593644227,-13.629276870809514,-31.0092518986568,-0.0,-0.0
91,-0.0,-0.0,-8.572965972917176,-6.076799840782755,-0.0,-0.0
92,-0.0,-0.0,-8.572965972917176,-6.447202127712636,-0.0,-0.0
93,-0.0,-0.0,-8.572965972917176,-8.45626656656157,-0.0,-0.0
94,-0.0,-0.0,-8.572965972917176,-10.394313252570845,-0.0,-0.0
95,-0.0,-0.0,-4.695190657337592,-0.03942940414452778,-0.0,-0.0
