,heat demand
0,22.8848406
1,23.2569746
2,25.7277289
3,29.7740116
4,35.8345059
5,45.1875343
6,49.1085161
7,47.4649354
8,43.8036651
9,40.5796514
10,38.5958181
11,36.4222888
12,32.7752127
13,32.1795445
14,32.7836271
15,33.7497685
16,35.1485322
17,36.7802374
18,36.2003653
19,36.809443
20,35.4837882
21,32.2163819
22,25.904137
23,23.341733
24,30.1283532
25,28.3735081
26,32.0453344
27,38.3751394
28,47.3841598
29,45.7448621
30,48.5462234
31,45.6176591
32,43.4556487
33,40.4698004
34,38.9943642
35,36.9106547
36,35.5268169
37,36.2399563
38,35.4695043
39,37.6510984
40,39.7837086
41,40.8003063
42,41.2560186
43,42.7158491
44,41.049065
45,37.8956127
46,30.7315803
47,27.2131541
48,23.2550855
49,24.2670004
50,26.2524097
51,30.1009826
52,35.5059401
53,43.4446067
54,48.0550231
55,46.4960514
56,43.3142184
57,40.5078393
58,37.3923205
59,35.9955565
60,34.4885542
61,33.9479789
62,33.8880388
63,34.9669667
64,35.7385942
65,37.0457945
66,37.261244
67,37.206451
68,35.216516
69,30.7192155
70,25.2967271
71,22.4520617
72,21.3541852
73,22.355532
74,24.148629
75,27.73774
76,33.0086273
77,40.8787051
78,45.190546
79,44.8561975
80,41.1005528
81,38.1440182
82,35.6306629
83,33.8767738
84,32.8653967
85,32.4171535
86,32.1942487
87,32.472004
88,33.4762175
89,33.6325777
90,34.0044872
91,34.0113095
92,32.2681999
93,27.790006
94,23.1117225
95,20.9498741
96,35.1355013
97,36.7692195
98,39.7486782
99,45.6621537
100,54.2857697
101,67.0676207
102,74.04474
103,73.5438363
104,67.3690977
105,62.5200142
106,58.3930565
107,55.5204887
108,53.8484609
109,53.1135533
110,52.7290335
111,53.1618038
112,54.7780896
113,54.9785602
114,55.5652798
115,55.5575425
116,52.6821858
117,45.3362845
118,37.7871417
119,34.3878866
120,49.9334489
121,51.4481504
122,54.5360831
123,59.3819691
124,71.361683
125,85.9650425
126,94.0996171
127,90.9329486
128,86.7740384
129,82.6148759
130,78.108066
131,74.6721348
