,battery storage
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.30633868765774963
102,0.30633868765774963
103,0.30633868765774963
104,0.29522471015562796
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.30633868765774963
125,0.30633868765774963
126,0.30633868765774963
127,0.30633868765774963
128,0.05738919666423492
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.30633868765774963
137,0.30633868765774963
138,0.30633868765774963
139,0.30633868765774963
140,0.30633868765774963
141,0.0
142,0.0
143,0.0
144,0.0
145,0.28734784994437845
146,0.30633868765774963
147,0.30633868765774963
148,0.30633868765774963
149,0.30633868765774963
150,0.30633868765774963
151,0.30633868765774963
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.30633868765774963
161,0.30633868765774963
162,0.30633868765774963
163,0.30633868765774963
164,0.30633868765774963
165,0.30633868765774963
166,0.30633868765774963
167,0.30633868765774963
168,0.30633868765774963
169,0.30633868765774963
170,0.30633868765774963
171,0.30633868765774963
172,0.30633868765774963
173,0.30633868765774963
174,0.30633868765774963
175,0.30633868765774963
176,0.20582558628609432
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.30633868765774963
185,0.30633868765774963
186,0.30633868765774963
187,0.30633868765774963
188,0.30633868765774963
189,0.30633868765774963
190,0.30633868765774963
191,0.30633868765774963
192,0.30633868765774963
193,0.30633868765774963
194,0.30633868765774963
195,0.30633868765774963
196,0.30633868765774963
197,0.30633868765774963
198,0.30633868765774963
199,0.30633868765774963
200,0.2799933569579437
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.30633868765774963
209,0.30633868765774963
210,0.30633868765774963
211,0.30633868765774963
212,0.30633868765774963
213,0.30633868765774963
214,0.30633868765774963
215,0.30633868765774963
216,0.30633868765774963
217,0.30633868765774963
218,0.30633868765774963
219,0.30633868765774963
220,0.30633868765774963
221,0.30633868765774963
222,0.30633868765774963
223,0.30633868765774963
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.30633868765774963
233,0.30633868765774963
234,0.30633868765774963
235,0.30633868765774963
236,0.30633868765774963
237,0.30633868765774963
238,0.30633868765774963
239,0.30633868765774963
240,0.30633868765774963
241,0.30633868765774963
242,0.30633868765774963
243,0.30633868765774963
244,0.30633868765774963
245,0.30633868765774963
246,0.30633868765774963
247,0.30633868765774963
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.30633868765774963
257,0.30633868765774963
258,0.30633868765774963
259,0.30633868765774963
260,0.30633868765774963
261,0.30633868765774963
262,0.20492223076904992
263,0.0
264,0.30633868765774963
265,0.30633868765774963
266,0.30633868765774963
267,0.30633868765774963
268,0.30633868765774963
269,0.30633868765774963
270,0.30633868765774963
271,0.30633868765774963
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.30633868765774963
281,0.30633868765774963
282,0.30633868765774963
283,0.30633868765774963
284,0.30633868765774963
285,0.30633868765774963
286,0.30633868765774963
287,0.30633868765774963
288,0.30633868765774963
289,0.30633868765774963
290,0.30633868765774963
291,0.30633868765774963
292,0.30633868765774963
293,0.30633868765774963
294,0.30633868765774963
295,0.30633868765774963
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.30633868765774963
306,0.30633868765774963
307,0.30633868765774963
308,0.30633868765774963
309,0.30633868765774963
310,0.30633868765774963
311,0.30633868765774963
312,0.30633868765774963
313,0.30633868765774963
314,0.30633868765774963
315,0.30633868765774963
316,0.30633868765774963
317,0.30633868765774963
318,0.30633868765774963
319,0.30633868765774963
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.30633868765774963
330,0.30633868765774963
331,0.30633868765774963
332,0.30633868765774963
333,0.30633868765774963
334,0.30633868765774963
335,0.30633868765774963
336,0.30633868765774963
337,0.30633868765774963
338,0.30633868765774963
339,0.30633868765774963
340,0.30633868765774963
341,0.30633868765774963
342,0.30633868765774963
343,0.30633868765774963
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.30633868765774963
354,0.30633868765774963
355,0.30633868765774963
356,0.30633868765774963
357,0.30633868765774963
358,0.30633868765774963
359,0.30633868765774963
360,0.30633868765774963
361,0.30633868765774963
362,0.30633868765774963
363,0.30633868765774963
364,0.30633868765774963
365,0.30633868765774963
366,0.30633868765774963
367,0.30633868765774963
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.30633868765774963
378,0.30633868765774963
379,0.30633868765774963
380,0.30633868765774963
381,0.30633868765774963
382,0.30633868765774963
383,0.30633868765774963
384,0.30633868765774963
385,0.30633868765774963
386,0.30633868765774963
387,0.30633868765774963
388,0.30633868765774963
389,0.30633868765774963
390,0.30633868765774963
391,0.30633868765774963
392,0.18077185941998716
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.21897952710977486
401,0.30633868765774963
402,0.30633868765774963
403,0.30633868765774963
404,0.30633868765774963
405,0.30633868765774963
406,0.30633868765774963
407,0.30633868765774963
408,0.30633868765774963
409,0.30633868765774963
410,0.30633868765774963
411,0.30633868765774963
