,battery storage,TTES storage,PTES storage
0,4.16665e-05,7.606819591570612e-05,5.898465e-06
1,4.16665e-05,7.69692480633474e-05,5.9683343e-06
2,4.16665e-05,7.731034616232425e-05,5.994784e-06
3,4.16665e-05,7.77151556599879e-05,6.026173e-06
4,4.16665e-05,7.708649987407373e-05,5.977426e-06
5,4.16665e-05,7.693330070929243e-05,5.9655463e-06
6,4.16665e-05,7.776368458796205e-05,6.0299362e-06
7,4.16665e-05,8.132733610495192e-05,6.306269e-06
8,4.16665e-05,8.037274354527122e-05,6.2322465e-06
9,4.16665e-05,7.81495477154885e-05,6.0598595e-06
10,4.16665e-05,7.500834104515154e-05,5.816282e-06
11,4.16665e-05,7.208332599120172e-05,5.589473e-06
12,4.16665e-05,7.008778264009873e-05,5.434734e-06
13,4.16665e-05,6.875360716710001e-05,5.331279e-06
14,4.16665e-05,6.922016153172866e-05,5.3674567e-06
15,4.16665e-05,7.400708036170657e-05,5.7386424e-06
16,4.16665e-05,7.831850027954684e-05,6.07296e-06
17,4.16665e-05,8.154741849377786e-05,6.3233315e-06
18,4.16665e-05,8.336457838675866e-05,6.4642404e-06
19,4.16665e-05,8.474292681424023e-05,6.571118e-06
20,4.16665e-05,8.564638954915335e-05,6.641176e-06
21,4.16665e-05,8.579643803407927e-05,6.6528105e-06
22,4.16665e-05,8.59383243550844e-05,6.663814e-06
23,4.16665e-05,8.731851244127353e-05,6.770836e-06
24,4.16665e-05,8.789419874371254e-05,6.8154754e-06
25,4.16665e-05,8.80228056892197e-05,6.8254476e-06
26,4.16665e-05,8.986077275654763e-05,6.967967e-06
27,4.16665e-05,9.162938257605172e-05,7.1051077e-06
28,4.16665e-05,9.201714879879284e-05,7.1351765e-06
29,4.16665e-05,9.335633575585696e-05,7.2390208e-06
30,4.16665e-05,9.308207858991996e-05,7.2177545e-06
31,4.16665e-05,9.344967200338548e-05,7.2462562e-06
32,4.16665e-05,9.179774306604334e-05,7.118163e-06
33,4.16665e-05,8.72844470369308e-05,6.768194e-06
34,4.16665e-05,8.268356633693855e-05,6.4114347e-06
35,4.16665e-05,7.622016864134917e-05,5.910249e-06
36,4.16665e-05,7.168803196961133e-05,5.558819e-06
37,4.16665e-05,6.986142003706447e-05,5.41718e-06
38,4.16665e-05,6.870507823912586e-05,5.327516e-06
