,battery storage
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,1.4348814026815757
101,1.073227954595817
102,0.7115895753434528
103,0.34996626429661776
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.9466094967941656
123,1.5473634329411314
124,1.1857052981228589
125,0.8240622323332607
126,0.46243423494446323
127,0.10082130532861891
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,2.264751851305978
135,4.118000017296823
136,3.756234773049308
137,3.3944846022933426
138,3.0327495044008668
139,2.6710294787438476
140,2.309324524694277
141,2.3092283032239687
142,2.3091320857628723
143,2.3090358723108206
144,2.308939662867647
145,2.1858556352326524
146,1.824170896679033
147,1.4625012282625727
148,1.1008466293553514
149,0.7392070993294754
150,0.3775826375570772
151,0.01597324341031546
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,1.5140960888197668
158,4.6559240064501495
159,6.044035131945833
160,5.682189636556214
161,5.320359218001928
162,4.958543875654778
163,4.596743608886589
164,4.234958417069215
165,3.8731882995745366
166,3.5114332557744583
167,3.1496932850409123
168,2.787968386745857
169,2.4262585602612763
170,2.064563804959181
171,1.7028841202116074
172,1.3412195053906186
173,0.9795699598683033
174,0.6179354830167764
175,0.25631607420817937
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,3.4433341709647087
183,6.121781509017795
184,5.759932774208756
185,5.398099116370025
186,5.0362805348733986
187,4.674477029090698
188,4.3126885983937715
189,3.9509152421544926
190,3.589156959744761
191,3.2274137505365035
192,2.8656856139016726
193,2.503972549212247
194,2.1422745558402307
195,1.7805916331576557
196,1.4189237805365789
197,1.0572709973490833
198,0.6956332829672782
199,0.33401063676329956
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,2.259633275950525
206,4.690755418787332
207,5.787548120504636
208,5.425713312031079
209,5.063893579947569
210,4.702088923625927
211,4.340299342437997
212,3.978524835755651
213,3.616765402950788
214,3.2550210433953315
215,2.893291756461233
216,2.531577541520468
217,2.1698783979450402
218,1.808194325106978
219,1.446525322378337
220,1.084871389131198
221,0.723232524737669
222,0.3616087285698829
223,0.0
224,0.0
225,0.0
226,0.0
227,1.7036617172615631
228,4.238174916707682
229,5.025083833152603
230,5.601164948854603
231,5.787548120504636
232,5.425713312031079
233,5.063893579947569
234,4.702088923625927
235,4.340299342437997
236,3.978524835755651
237,3.616765402950788
238,3.2550210433953315
239,2.893291756461233
240,2.531577541520468
241,2.1698783979450402
242,1.808194325106978
243,1.446525322378337
244,1.084871389131198
245,0.723232524737669
246,0.3616087285698829
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,1.7646491050989184
253,4.450575144321891
254,5.095976783233821
255,5.364889199521577
256,5.003072001765951
257,4.641269879666596
258,4.279482832595361
259,3.9177108599241235
260,3.5559539610247843
261,3.194212135269273
262,2.8934123148254485
263,2.893291756461233
264,2.531577541520468
265,2.1698783979450402
266,1.808194325106978
267,1.446525322378337
268,1.084871389131198
269,0.723232524737669
270,0.3616087285698829
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,2.6577154382170356
279,5.787548120504636
280,5.425713312031079
281,5.063893579947569
282,4.702088923625927
283,4.340299342437997
284,3.978524835755651
285,3.616765402950788
286,3.2550210433953315
287,2.893291756461233
288,2.531577541520468
289,2.1698783979450402
290,1.808194325106978
291,1.446525322378337
292,1.084871389131198
293,0.723232524737669
294,0.3616087285698829
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,1.7897576740618137
303,4.576583943036674
304,5.425713312031079
305,5.063893579947569
306,4.702088923625927
307,4.340299342437997
308,3.978524835755651
309,3.616765402950788
310,3.2550210433953315
311,2.893291756461233
312,2.531577541520468
313,2.1698783979450402
314,1.808194325106978
315,1.446525322378337
316,1.084871389131198
317,0.723232524737669
318,0.3616087285698829
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,1.5376509601071264
327,4.566104885737843
328,5.425713312031079
329,5.063893579947569
330,4.702088923625927
331,4.340299342437997
332,3.978524835755651
333,3.616765402950788
334,3.2550210433953315
335,2.893291756461233
336,2.531577541520468
337,2.1698783979450402
338,1.808194325106978
339,1.446525322378337
340,1.084871389131198
341,0.723232524737669
342,0.3616087285698829
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,2.4150619392414123
351,4.7220830492694015
352,5.3894984568470985
353,5.0276802337098525
354,4.665877086271601
355,4.304089013904192
356,3.9423160159795
357,3.5805580918694258
358,3.2188152409458968
359,2.8570874625808655
360,2.4953747561463118
361,2.1698783979450402
362,1.808194325106978
363,1.446525322378337
364,1.084871389131198
365,0.723232524737669
366,0.3616087285698829
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,4.4315911575048235
375,6.246500478937429
376,6.706104241377036
377,6.3442311598848695
378,5.982373156377452
379,5.620530230226538
380,5.258702380803906
381,4.896889607481363
382,4.535091909630739
383,4.173309286623892
384,3.811541737832707
385,3.449789262629093
386,3.0880518603849874
387,2.7263295304723525
388,2.3646222722631767
389,2.002930085129475
390,1.6412529684432888
391,1.2795909215766852
392,1.04947618776543
393,1.221709690900834
394,1.9025125705075236
395,3.8148743936899545
396,4.523092174668836
397,5.07364795719685
398,5.60578553075203
399,6.22690152000649
400,5.956557815543526
401,5.594715965027511
402,5.23288919119496
403,4.8710774934176815
404,4.509280871067508
405,4.1474993235163
406,3.785732850135942
407,3.4239814502983474
