Component,Type,Carrier,Installed Capacity (MW),Generation (MWh),CapEx (€),OpEx (€),CO2 Emissions (t),Generation2 (MWh),Losses (MWh)
large scale heat pump,Link,heat pump,49.16351182490166,184109.23076175162,8793342.885506105,1098133.000508791,,63222.23476872153,-120886.99599303011
dec ground heat pump,Generator,dec ground heat pump,34.38176294002687,75294.03257216499,2665776.1491302857,4847556.5484403,8056.461485221654,,
heating_grid_110MW,Link,heat,110.082175,239593.10208558428,2637748.166744403,0.0,,0.0,6261.28559595516
pv panels,Generator,pv,15.262591218526403,18811.678795644613,438019.9750830516,0.0,0.0,,
biomethane CHP,Link,biomethane CHP,10.3657662756222,22076.877230602673,317140.2675233985,70662.60636443202,,30034.82134861061,29264.697724287267
st panels,Generator,st,17.40858359126898,14844.32547564086,247238.2454092512,3630.561739562461,0.0,,
battery storage,Storage,battery storage,5.380784031452233,220.04571859047104,230393.8480388856,127787.00870275573,,,
biomethane boiler,Link,biomethane boiler,33.163270155737216,16914.89107478679,183534.44561424232,19005.571611675136,,15957.444410176215,-957.4466646105736
electricity grid,Generator,grid electricity,8.116699187923139,27745.496672955647,179703.7200206183,4821172.5871376945,2968.7681440062543,,
TTES,Store,TTES,180.0438072329181,663345.0001018016,42028.05528556532,0.0,,,
TTES discharge,Link,TTES,31.23182088504342,5947.051882017038,41365.656840090975,118941.03764607554,,5947.051882017038,0.0
TTES charge,Link,TTES,9.26214151591554,5995.933663592913,12267.442521585454,119918.67327521705,,5995.933663592913,0.0
curtailment,Store,heat,1.0,0.0008023224295299336,0.0,0.0,,,
heating_grid_31MW,Link,heat,0.0,0.0,0.0,0.0,,0.0,0.0
heating_grid_142MW,Link,heat,0.0,0.0,0.0,0.0,,0.0,0.0
heating_grid_126MW,Link,heat,0.0,0.0,0.0,0.0,,0.0,0.0
biomethane,Generator,biomethane,56.0,67299.01936506617,0.0,8075882.3238139115,10229.450943490056,,
heating_grid_94MW,Link,heat,0.0,0.0,0.0,0.0,,0.0,0.0
heating_grid_78MW,Link,heat,0.0,0.0,0.0,0.0,,0.0,0.0
heating_grid_62MW,Link,heat,0.0,0.0,0.0,0.0,,0.0,0.0
heating_grid_47MW,Link,heat,0.0,0.0,0.0,0.0,,0.0,0.0
heating_grid_15MW,Link,heat,0.0,0.0,0.0,0.0,,0.0,0.0
elec market,Store,electricity,-0.0,0.0,-0.0,0.0,,,
selling,Link,electricity,0.0,0.0,0.0,0.0,,5191.772211890932,5191.772211890932
PTES discharge,Link,PTES,0.0,0.0,0.0,0.0,,0.0,0.0
PTES charge,Link,PTES,0.0,0.0,0.0,0.0,,0.0,0.0
elec boiler,Link,electricity,0.0,0.0,0.0,0.0,,0.0,0.0
dec air heat pump,Generator,dec air heat pump,0.0,0.0,0.0,0.0,0.0,,
PTES,Store,PTES,0.0,0.0,0.0,0.0,,,
geothermal plant,Link,geothermal,0.0,0.0,0.0,0.0,,0.0,0.0
heating_grid_159MW,Link,heat,0.0,0.0,0.0,0.0,,0.0,0.0
